DLiP-ID,C0011I
DLiP-Mol-ID,31685
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H21N3O2/c1-15-7-8-17(3)13(15)18(4)12-6-5-10(9-11(12)15)20-14(19)16-2/h5-6,9,13H,7-8H2,1-4H3,(H,16,19)/t13-,15-/m1/s1"
Standard Inchi Key(RDKit),PIJVFDBKTWXHHD-UKRRQHHQSA-N
Canonical SMILES(RDKit),CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@@H]1N2C
SMILES(SDF),
MW(SDF),
MW(RDKit),275.352
MW Monoisotopic(RDKit),275.163376912
MolLogP(RDKit),1.7739
XLogP(SDF),
XLogP(CDK),1.868
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),44.81
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.848239959161349
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,43602.73695172569
qed,0.8482399591613494
Chi0,14.491199352633217
Chi1,9.469380905582563
TPSA,44.81
Chi0n,12.434538411059242
Chi0v,12.434538411059242
Chi1n,6.943294366857524
Chi1v,6.943294366857524
Chi2n,5.951123572833847
Chi2v,5.951123572833847
