DLiP-ID,C002JP
DLiP-Mol-ID,31574
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12N2O2S2/c1-20-10-4-5-11-9(7-10)8-13-14(11)17-16(22-13)18-15(19)12-3-2-6-21-12/h2-7H,8H2,1H3,(H,17,18,19)"
Standard Inchi Key(RDKit),ICJHKBYQTSPGFA-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2c(c1)Cc1sc(NC(=O)c3cccs3)nc1-2
SMILES(SDF),
MW(SDF),
MW(RDKit),328.418
MW Monoisotopic(RDKit),328.034019624
MolLogP(RDKit),4.0367
XLogP(SDF),
XLogP(CDK),2.164
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),51.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.617420063920752
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,241104.84805772637
qed,0.6174200639207517
Chi0,15.104083527755582
Chi1,10.741514740667455
TPSA,51.22
Chi0n,11.751415153679714
Chi0v,13.384408315535167
Chi1n,6.762267326679607
Chi1v,8.458416718862228
Chi2n,4.922080944927023
Chi2v,6.953396894051556
Chi3n,3.581312987882495
Chi3v,5.42072735856835
Chi4n,2.549238996205961
Chi4v,4.16218470122274
MolMR,89.18020000000001
MolWt,328.418
fr_SH,0
Kappa1,13.48067405546283
Kappa2,5.2250182533124025
Kappa3,2.2046544995426705
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,853.1654082463192
MolLogP,4.036700000000002
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.611062048714356
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,12.426586145283864
