DLiP-ID,T004HJ
DLiP-Mol-ID,18664
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H19NO2S/c1-11-8-15(9-12(2)17-11)14(16)10-18-13-6-4-3-5-7-13/h3-7,11-12H,8-10H2,1-2H3"
Standard Inchi Key(RDKit),ODCICFYWBXVLHA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1CN(C(=O)CSc2ccccc2)CC(C)O1
SMILES(SDF),
MW(SDF),
MW(RDKit),265.378
MW Monoisotopic(RDKit),265.113649848
MolLogP(RDKit),2.4145
XLogP(SDF),
XLogP(CDK),2.333
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),29.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.786093977458942
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,13100.185689825119
qed,0.7860939774589425
Chi0,12.957819157813608
Chi1,8.647867045540842
TPSA,29.540000000000003
Chi0n,10.834730694778573
Chi0v,11.6512272757063
Chi1n,6.2598243880565745
Chi1v,7.245422947710061
Chi2n,4.657766341380281
Chi2v,5.7065211313609385
Chi3n,2.877830408102623
Chi3v,3.87461741078061
Chi4n,2.134607447792125
Chi4v,2.956908517823069
MolMR,73.75500000000005
MolWt,265.378
fr_SH,0
Kappa1,13.432098765432098
Kappa2,6.25
Kappa3,3.75
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,386.0402818776513
MolLogP,2.4145000000000003
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8424855297872091
SMR_VSA1,9.53140013787187
