DLiP-ID,C000MW
DLiP-Mol-ID,31068
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14F3N3OS/c1-24-14-7-10-4-6-22(13(10)8-12(14)16(17,18)19)15(23)21-11-3-2-5-20-9-11/h2-3,5,7-9H,4,6H2,1H3,(H,21,23)"
Standard Inchi Key(RDKit),OQZOXHCRSXYSPM-UHFFFAOYSA-N
Canonical SMILES(RDKit),CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),353.369
MW Monoisotopic(RDKit),353.080967728
MolLogP(RDKit),4.4169
XLogP(SDF),
XLogP(CDK),2.885
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),45.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.813300315439662
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,304227.95131880033
qed,0.8133003154396615
Chi0,17.319626477379405
Chi1,11.397196713406814
TPSA,45.230000000000004
Chi0n,12.723132368466176
Chi0v,13.5396289493939
Chi1n,7.165553296281503
Chi1v,8.390298167673091
Chi2n,5.2524539990291395
Chi2v,6.100528695120449
Chi3n,3.759657734806826
Chi3v,4.537248473445754
Chi4n,2.6437050073885606
Chi4v,3.2983813164027014
MolMR,87.53070000000002
MolWt,353.3690000000001
fr_SH,0
Kappa1,16.631264146178772
Kappa2,6.350639280292179
Kappa3,3.1878437615896846
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,765.1532194070552
MolLogP,4.416900000000003
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.9206454080331699
SMR_VSA1,17.96578232709628
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,17.49260361588726
SMR_VSA6,23.01722392428079
SMR_VSA7,47.78605840046659
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,140.61795891296046
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,9.883888251797686
PEOE_VSA3,4.794537184071822
PEOE_VSA4,13.171245143024459
PEOE_VSA5,11.761884949391115
PEOE_VSA6,0.0
PEOE_VSA7,42.50551057198085
PEOE_VSA8,23.32446972772699
PEOE_VSA9,17.447681337993636
RingCount,3
SMR_VSA10,29.16777201109631
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,353.080967728
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.207413029781547
SlogP_VSA1,10.216698334856808
SlogP_VSA2,23.81561862270926
SlogP_VSA3,12.597120140369483
SlogP_VSA4,0.0
SlogP_VSA5,11.126902983393991
SlogP_VSA6,41.55463889259036
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
