DLiP-ID,C000GT
DLiP-Mol-ID,30792
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H5Br2NO/c10-6-4-7(11)9(13)8-5(6)2-1-3-12-8/h1-4,13H"
Standard Inchi Key(RDKit),ZDASUJMDVPTNTF-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1c(Br)cc(Br)c2cccnc12
SMILES(SDF),
MW(SDF),
MW(RDKit),302.953
MW Monoisotopic(RDKit),300.87378798
MolLogP(RDKit),3.4654
XLogP(SDF),
XLogP(CDK),3.315
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),33.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.808208734468551
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1131.0684223072026
qed,0.8082087344685511
Chi0,9.422285251880869
Chi1,6.198377302757662
TPSA,33.120000000000005
Chi0n,6.459757213776875
Chi0v,9.631750292006283
Chi1n,3.616069028707452
Chi1v,5.202065567822157
Chi2n,2.5883889584977053
Chi2v,4.2970627568467465
Chi3n,1.7689870956662064
Chi3v,3.029562680715644
Chi4n,1.1572067134578936
Chi4v,2.429972309229216
MolMR,58.80780000000001
MolWt,302.95300000000003
fr_SH,0
Kappa1,8.96515082928919
Kappa2,3.270387401086411
Kappa3,1.4420360850684513
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,470.3665095200525
MolLogP,3.4654000000000007
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
