DLiP-ID,T003UB
DLiP-Mol-ID,20839
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H27N3O4/c1-17-6-3-4-9-23(17)29-26(33)28-21-12-10-19(11-13-21)15-24(30)27-22-8-5-7-20(16-22)18(2)14-25(31)32/h3-13,16,18H,14-15H2,1-2H3,(H,27,30)(H,31,32)(H2,28,29,33)"
Standard Inchi Key(RDKit),MIJPMFDJDTXPFB-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1NC(=O)Nc1ccc(CC(=O)Nc2cccc(C(C)CC(=O)O)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),445.519
MW Monoisotopic(RDKit),445.200156344
MolLogP(RDKit),5.39842
XLogP(SDF),
XLogP(CDK),3.591
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),107.53
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.372341242739606
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,18440944.475509737
qed,0.3723412427396057
Chi0,23.794317972067567
Chi1,15.795734091081686
TPSA,107.53000000000002
Chi0n,18.59172552872978
Chi0v,18.59172552872978
Chi1n,10.64099777875536
Chi1v,10.64099777875536
Chi2n,7.940295000445357
Chi2v,7.940295000445357
Chi3n,5.189979555454766
Chi3v,5.189979555454766
Chi4n,3.397047500997258
Chi4v,3.397047500997258
MolMR,129.7059
MolWt,445.5190000000002
fr_SH,0
Kappa1,23.53138353161618
Kappa2,10.948770047548832
Kappa3,7.207860136707588
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1142.283760626282
MolLogP,5.398420000000002
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.5323411677218022
SMR_VSA1,19.490138947056174
SMR_VSA2,0.0
