DLiP-ID,T007KQ
DLiP-Mol-ID,25717
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H18ClNO3/c1-10-7-16(8-11(2)19-10)14(17)9-18-13-6-4-3-5-12(13)15/h3-6,10-11H,7-9H2,1-2H3"
Standard Inchi Key(RDKit),YDHBRJUDKBCXPX-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1CN(C(=O)COc2ccccc2Cl)CC(C)O1
SMILES(SDF),
MW(SDF),
MW(RDKit),283.755
MW Monoisotopic(RDKit),283.097521116
MolLogP(RDKit),2.3546
XLogP(SDF),
XLogP(CDK),2.393
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),38.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.854711301661771
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,18919.202009204047
qed,0.8547113016617716
Chi0,13.828062645816686
Chi1,9.058550648063802
TPSA,38.77
Chi0n,11.135344898598174
Chi0v,11.891273844616629
Chi1n,6.365473291227854
Chi1v,6.743437764237082
Chi2n,4.775135725367063
Chi2v,5.18233585210767
Chi3n,2.9601132298163013
Chi3v,3.272362007585086
Chi4n,2.1740936152129273
Chi4v,2.3643814633521276
MolMR,73.53600000000004
MolWt,283.75500000000005
fr_SH,0
Kappa1,14.155504419859927
Kappa2,6.259617911226304
Kappa3,3.848953766325245
