DLiP-ID,T005FL
DLiP-Mol-ID,22398
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H25N3O3/c25-20(26)8-5-15-12-18(15)16-4-7-19(23-13-16)27-11-9-17-6-3-14-2-1-10-22-21(14)24-17/h3-4,6-7,13,15,18H,1-2,5,8-12H2,(H,22,24)(H,25,26)"
Standard Inchi Key(RDKit),RACKESAPXGJXEQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCC1CC1c1ccc(OCCc2ccc3c(n2)NCCC3)nc1
SMILES(SDF),
MW(SDF),
MW(RDKit),367.449
MW Monoisotopic(RDKit),367.18959166
MolLogP(RDKit),3.4245
XLogP(SDF),
XLogP(CDK),3.322
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),84.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.743622667270134
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3237512.038607555
qed,0.7436226672701345
Chi0,18.639617433688315
Chi1,13.186673185801062
TPSA,84.34
Chi0n,15.356443501247366
Chi0v,15.356443501247366
Chi1n,9.720558747139314
Chi1v,9.720558747139314
Chi2n,7.403569766280455
Chi2v,7.403569766280455
Chi3n,5.398919535631739
Chi3v,5.398919535631739
Chi4n,3.748430422932636
