DLiP-ID,J100HF
DLiP-Mol-ID,37329
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H17N9S.ClH/c1-20(2)5-6-21-13(17-18-19-21)23-11-7-10(9-3-4-9)16-12-14-8-15-22(11)12;/h7-9H,3-6H2,1-2H3;1H"
Standard Inchi Key(RDKit),UWXIPTOZHXMCOJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),C[NH+](C)CCn1nnnc1Sc1cc(C2CC2)nc2ncnn12.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),367.87
MW Monoisotopic(RDKit),367.109440256
MolLogP(RDKit),-3.7121
XLogP(SDF),
XLogP(CDK),0.891
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.44809647652012
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,342086.79277984955
qed,0.4480964765201196
Chi0,15.81119030894213
Chi1,11.20350993820667
TPSA,91.12
Chi0n,13.424399459787827
Chi0v,14.996824986734007
Chi1n,7.642196795530317
Chi1v,8.458693376458042
Chi2n,6.009131351081072
Chi2v,6.996680314213684
Chi3n,3.753099312381429
Chi3v,4.727998363598951
Chi4n,2.2963729148392362
Chi4v,3.1888780362414204
MolMR,82.37470000000003
MolWt,367.87
fr_SH,0
Kappa1,17.056367157374492
Kappa2,6.994053963066903
Kappa3,3.4964557444584723
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,8
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,825.8266384448173
MolLogP,-3.712099999999997
NOCount,9
fr_Ar_N,8
fr_COO2,0
fr_urea,0
BalabanJ,1.6899985563512889e-06
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856703
SMR_VSA4,0.0
SMR_VSA5,35.48670215841594
SMR_VSA6,20.640100371266954
SMR_VSA7,18.08761513807461
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,148.80229238304602
NHOHCount,1
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,14.598058222863868
PEOE_VSA5,5.098681808301038
PEOE_VSA6,0.0
PEOE_VSA7,41.09666545501449
PEOE_VSA8,5.917906046161393
PEOE_VSA9,32.87878477202799
RingCount,4
SMR_VSA10,17.53953867331031
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,367.1094402560001
NumHDonors,1
PEOE_VSA10,11.353280053433782
PEOE_VSA11,0.0
PEOE_VSA12,5.156436481820707
PEOE_VSA13,5.777653723919194
PEOE_VSA14,0.0
SlogP_VSA1,17.306942892030456
SlogP_VSA2,60.42939204983399
SlogP_VSA3,6.544756405912575
SlogP_VSA4,0.0
SlogP_VSA5,24.453477286861872
SlogP_VSA6,22.5760836037161
SlogP_VSA7,0.0
SlogP_VSA8,5.777653723919194
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
