DLiP-ID,J1008K
DLiP-Mol-ID,37010
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H24N2O2S/c1-3-23(4-2)17-9-7-16(8-10-17)22-21(24)19-13-14-25-20(19)12-11-18-6-5-15-26-18/h5-10,13-15H,3-4,11-12H2,1-2H3,(H,22,24)"
Standard Inchi Key(RDKit),HZLXPXBEHMQJLN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(NC(=O)c2ccoc2CCc2cccs2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),368.502
MW Monoisotopic(RDKit),368.155849008
MolLogP(RDKit),5.2248
XLogP(SDF),
XLogP(CDK),3.649
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),45.48
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.592411466648581
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,1361855.1113069686
qed,0.5924114666485814
Chi0,18.355160383312143
Chi1,12.707039898056804
TPSA,45.480000000000004
Chi0n,15.196538014344373
Chi0v,16.0130345952721
Chi1n,8.959877104065669
Chi1v,9.839529915320565
Chi2n,6.010103788340952
Chi2v,7.0423489707027045
Chi3n,4.422366569688048
Chi3v,5.358540512314188
Chi4n,2.970862235365278
Chi4v,3.6798375837031325
MolMR,108.39120000000004
MolWt,368.50200000000007
fr_SH,0
Kappa1,18.26675250173071
Kappa2,8.717352233990633
Kappa3,4.351287923135383
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,818.0853451959118
MolLogP,5.224800000000005
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6385755409600746
SMR_VSA1,9.211688121125169
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,26.689117645233267
SMR_VSA6,23.30621114668196
SMR_VSA7,70.30864134960898
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,158.0060968207448
NHOHCount,1
PEOE_VSA1,14.633849271910154
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,6.06636706846161
PEOE_VSA7,62.04656120354283
PEOE_VSA8,35.762254177819585
PEOE_VSA9,11.826614487336052
RingCount,3
SMR_VSA10,28.618738156653368
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,368.155849008
NumHDonors,1
PEOE_VSA10,5.760247418874442
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,10.216698334856808
SlogP_VSA2,18.996692541176657
SlogP_VSA3,12.841643245852019
SlogP_VSA4,0.0
SlogP_VSA5,34.842857687725804
SlogP_VSA6,58.524946182389584
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
