DLiP-ID,C1029G
DLiP-Mol-ID,41018
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H8ClNO/c1-2-16-7-10-4-3-5-13(17)15(10)12(16)6-14(19)11(8-16)9-18/h1,3-6,8H,7H2"
Standard Inchi Key(RDKit),GYUIEANXINMMDK-UHFFFAOYSA-N
Canonical SMILES(RDKit),C#CC12C=C(C#N)C(=O)C=C1c1c(Cl)cccc1C2
SMILES(SDF),
MW(SDF),
MW(RDKit),265.699
MW Monoisotopic(RDKit),265.029441556
MolLogP(RDKit),2.93178
XLogP(SDF),
XLogP(CDK),3.241
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),40.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.676927153025901
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,29471.224560222832
qed,0.6769271530259009
Chi0,13.620955864630139
Chi1,9.109320773707354
TPSA,40.86
Chi0n,9.904634755297351
Chi0v,10.660563701315805
Chi1n,5.76121256950343
Chi1v,6.139177042512657
Chi2n,4.6585059673415135
Chi2v,5.06570609408212
Chi3n,3.6287964430591986
Chi3v,3.943766837233554
Chi4n,2.7503562041248033
Chi4v,3.04626531559239
MolMR,73.10200000000002
MolWt,265.699
fr_SH,0
Kappa1,11.78097528709742
Kappa2,3.8512013652449393
Kappa3,1.4772083534831517
fr_ArN,0
fr_COO,0
