DLiP-ID,C003FA
DLiP-Mol-ID,33940
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H11F6N3/c1-10-2-4-11(5-3-10)13(9-26)15-7-6-12-14(18(20,21)22)8-16(19(23,24)25)28-17(12)27-15/h2-8,13H,1H3"
Standard Inchi Key(RDKit),YGKJCHLQHUILMM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(C(C#N)c2ccc3c(C(F)(F)F)cc(C(F)(F)F)nc3n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),395.306
MW Monoisotopic(RDKit),395.085716672
MolLogP(RDKit),5.6313
XLogP(SDF),
XLogP(CDK),4.754
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),49.57
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.528544015975782
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,1134503.172620313
qed,0.528544015975782
Chi0,20.68986996538248
Chi1,13.002368428929353
TPSA,49.57
Chi0n,14.228229778072244
Chi0v,14.228229778072244
Chi1n,7.9273538883205195
Chi1v,7.9273538883205195
Chi2n,6.130654620154156
Chi2v,6.130654620154156
Chi3n,4.12563053737851
Chi3v,4.12563053737851
Chi4n,2.7301808468237323
Chi4v,2.7301808468237323
MolMR,88.17699999999999
MolWt,395.30600000000004
fr_SH,0
Kappa1,19.607154895290407
Kappa2,6.782021147826467
Kappa3,3.761990302854744
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1062.4398548042523
MolLogP,5.631300000000002
NOCount,3
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.217744040649696
SMR_VSA1,26.34249028604892
SMR_VSA2,5.261891554738487
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,25.194240280738967
SMR_VSA6,0.0
SMR_VSA7,70.54277994401919
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,154.81996049019835
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,9.967957041894417
PEOE_VSA4,31.60438184078741
PEOE_VSA5,0.0
PEOE_VSA6,29.828919765543436
PEOE_VSA7,30.686289896772447
PEOE_VSA8,5.386224214464796
PEOE_VSA9,17.32660079933773
RingCount,3
SMR_VSA10,11.033401435232523
fr_Al_COO,0
