DLiP-ID,T0075A
DLiP-Mol-ID,25047
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H22N4O4/c1-14(11-21(29)30)27-13-20(28)26(2)19-10-7-16(12-18(19)23(27)31)4-3-15-5-8-17(9-6-15)22(24)25/h5-10,12,14H,11,13H2,1-2H3,(H3,24,25)(H,29,30)/t14-/m1/s1"
Standard Inchi Key(RDKit),WUDMWSRCKXOKCG-CQSZACIVSA-N
Canonical SMILES(RDKit),C[C@H](CC(=O)O)N1CC(=O)N(C)c2ccc(C#Cc3ccc(C(=N)N)cc3)cc2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),418.453
MW Monoisotopic(RDKit),418.164105184
MolLogP(RDKit),1.65227
XLogP(SDF),
XLogP(CDK),2.637
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.395186863567679
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6321490.084484918
qed,0.3951868635676788
Chi0,22.706377823327532
Chi1,14.667611553344425
TPSA,127.78999999999999
Chi0n,17.176751642971194
Chi0v,17.176751642971194
Chi1n,9.56922143015302
Chi1v,9.56922143015302
Chi2n,7.305647204551073
Chi2v,7.305647204551073
Chi3n,5.078054449986765
Chi3v,5.078054449986765
Chi4n,3.2865966048576247
Chi4v,3.2865966048576247
MolMR,116.04140000000005
MolWt,418.45300000000015
fr_SH,0
Kappa1,21.58556548829429
Kappa2,8.712754371797729
Kappa3,4.726287345467254
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1128.5008598852467
MolLogP,1.6522699999999997
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.9523173965424174
SMR_VSA1,19.49013894705617
SMR_VSA2,5.409283605791522
SMR_VSA3,4.899909730850478
SMR_VSA4,5.733667477162185
SMR_VSA5,19.386399651764595
SMR_VSA6,18.492338119440245
SMR_VSA7,64.71837544601925
SMR_VSA8,0.0
SMR_VSA9,11.840868637711289
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,179.31996391126526
NHOHCount,4
PEOE_VSA1,20.640014333703846
PEOE_VSA2,19.79289515800699
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.973602774634507
PEOE_VSA7,37.255572541998674
PEOE_VSA8,29.779867286916136
PEOE_VSA9,17.671659389306566
RingCount,3
SMR_VSA10,29.306670807095692
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,418.16410518400005
NumHDonors,3
PEOE_VSA10,12.380376191669844
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012664
SlogP_VSA2,53.259990875841034
SlogP_VSA3,9.589074368143644
SlogP_VSA4,17.25015224350281
SlogP_VSA5,40.392901973476434
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,1
fr_benzene,2
fr_epoxide,0
