DLiP-ID,C000IP
DLiP-Mol-ID,30888
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12O4/c1-19-13-3-2-4-14-16(13)12(18)9-15(20-14)10-5-7-11(17)8-6-10/h2-9,17H,1H3"
Standard Inchi Key(RDKit),SOXQLRMCWAKIPS-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc2oc(-c3ccc(O)cc3)cc(=O)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),268.268
MW Monoisotopic(RDKit),268.073558864
MolLogP(RDKit),3.1742
XLogP(SDF),
XLogP(CDK),4.395
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.77510298189573
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,48275.302835446026
qed,0.7751029818957303
Chi0,14.11251969619286
Chi1,9.685871848001629
TPSA,59.67
Chi0n,10.790760620408555
Chi0v,10.790760620408555
Chi1n,6.091086079233406
Chi1v,6.091086079233406
Chi2n,4.355184312995007
Chi2v,4.355184312995007
Chi3n,3.08823605090472
Chi3v,3.08823605090472
Chi4n,2.1161185478603706
Chi4v,2.1161185478603706
MolMR,76.13680000000002
MolWt,268.26800000000003
fr_SH,0
Kappa1,12.292334289087536
Kappa2,4.735394314355078
Kappa3,2.0101119720881173
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,815.9947509008107
MolLogP,3.1742000000000017
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.249943215779995
SMR_VSA1,14.260541285694101
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,7.109797541277533
SMR_VSA7,58.754264123665244
SMR_VSA8,0.0
SMR_VSA9,22.822722577139245
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
