DLiP-ID,T007YC
DLiP-Mol-ID,26309
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16F3N3O2/c21-20(22,23)15-8-4-9-16(12-15)25-19(27)26-18-17(10-5-11-24-18)28-13-14-6-2-1-3-7-14/h1-12H,13H2,(H2,24,25,26,27)"
Standard Inchi Key(RDKit),ZGRJWEGBJGKHAP-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cccc(C(F)(F)F)c1)Nc1ncccc1OCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),387.361
MW Monoisotopic(RDKit),387.119461412
MolLogP(RDKit),5.3234
XLogP(SDF),
XLogP(CDK),4.508
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),63.25
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.622539265706338
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,1915309.9875766535
qed,0.622539265706338
Chi0,19.98491689530906
Chi1,13.414834803611855
TPSA,63.25
Chi0n,14.532913606917425
Chi0v,14.532913606917425
Chi1n,8.286621821493286
Chi1v,8.286621821493286
Chi2n,5.782106469037662
Chi2v,5.782106469037662
Chi3n,3.687555673670691
Chi3v,3.687555673670691
Chi4n,2.3793796089142347
Chi4v,2.3793796089142347
MolMR,99.0964
MolWt,387.3610000000001
fr_SH,0
Kappa1,19.218221954609938
Kappa2,8.426978650661939
Kappa3,5.227901637435926
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,946.6808785070681
MolLogP,5.323400000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.6593158835258155
SMR_VSA1,22.70264528089633
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,12.783180481956393
SMR_VSA6,10.633577208012662
SMR_VSA7,84.0537843080848
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,158.73146376130677
NHOHCount,2
PEOE_VSA1,10.05365155780638
PEOE_VSA2,5.316788604006331
PEOE_VSA3,9.77851570501903
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
