DLiP-ID,J000DE
DLiP-Mol-ID,27231
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H12N2/c14-13(15)12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,(H3,14,15)"
Standard Inchi Key(RDKit),VHEYCTCATJSAAI-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(-c2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),196.253
MW Monoisotopic(RDKit),196.100048384
MolLogP(RDKit),2.63767
XLogP(SDF),
XLogP(CDK),3.572
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),49.87
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.562676924692968
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,3647.597027924487
qed,0.5626769246929684
Chi0,10.673362107437434
Chi1,7.270856947829097
TPSA,49.870000000000005
Chi0n,8.27350269189626
Chi0v,8.27350269189626
Chi1n,4.770725942163692
Chi1v,4.770725942163692
Chi2n,3.3570508075688785
Chi2v,3.3570508075688785
Chi3n,2.303026815105797
Chi3v,2.303026815105797
Chi4n,1.472839277718349
Chi4v,1.472839277718349
MolMR,62.89410000000002
MolWt,196.25300000000001
fr_SH,0
Kappa1,9.464452702776038
Kappa2,3.964406732215082
Kappa3,2.045973094419842
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
