DLiP-ID,T004DQ
DLiP-Mol-ID,17810
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N2O5/c1-29-17-9-7-15(8-10-17)13-18(22(27)28)23-21(26)19-11-12-20(25)24(19)14-16-5-3-2-4-6-16/h2-10,18-19H,11-14H2,1H3,(H,23,26)(H,27,28)/t18-,19-/m0/s1"
Standard Inchi Key(RDKit),NVEKFYPJTHLEPY-OALUTQOASA-N
Canonical SMILES(RDKit),COc1ccc(C[C@H](NC(=O)[C@@H]2CCC(=O)N2Cc2ccccc2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),396.443
MW Monoisotopic(RDKit),396.168521868
MolLogP(RDKit),1.9983
XLogP(SDF),
XLogP(CDK),2.083
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),95.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.71155354327341
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3961859.645674083
qed,0.7115535432734105
Chi0,20.802754140504845
Chi1,13.97356554823633
TPSA,95.94000000000001
Chi0n,16.206700438687445
Chi0v,16.206700438687445
Chi1n,9.471618086716411
Chi1v,9.471618086716411
Chi2n,7.01332211461961
Chi2v,7.01332211461961
Chi3n,5.040066888909665
Chi3v,5.040066888909665
Chi4n,3.4498849685397204
Chi4v,3.4498849685397204
MolMR,106.27850000000005
MolWt,396.44300000000004
fr_SH,0
Kappa1,20.3859495632895
Kappa2,9.229543419649923
Kappa3,5.1299700623397
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,866.5311786665097
MolLogP,1.998299999999999
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.674066350373058
SMR_VSA1,24.227001900856216
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,37.89090293298653
SMR_VSA6,7.109797541277533
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
