DLiP-ID,C002VN
DLiP-Mol-ID,33233
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H23N5O2S/c31-33(32,18-12-20-7-2-1-3-8-20)30-16-14-29(15-17-30)25-22-10-4-5-11-23(22)27-24(28-25)21-9-6-13-26-19-21/h1-13,18-19H,14-17H2/b18-12+"
Standard Inchi Key(RDKit),HZHNOQGGZSOVNB-LDADJPATSA-N
Canonical SMILES(RDKit),O=S(=O)(/C=C/c1ccccc1)N1CCN(c2nc(-c3cccnc3)nc3ccccc23)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),457.559
MW Monoisotopic(RDKit),457.157245976
MolLogP(RDKit),3.8145
XLogP(SDF),
XLogP(CDK),4.21
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),79.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.453425691791587
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,51397040.56549771
qed,0.45342569179158665
Chi0,22.67515133962105
Chi1,16.099286215479367
TPSA,79.29
Chi0n,17.94949401148196
Chi0v,18.765990592409686
Chi1n,10.755011887372497
Chi1v,12.258231446500307
Chi2n,7.7741422514696215
Chi2v,9.592649408565418
Chi3n,5.632940129778706
Chi3v,7.197889029404783
Chi4n,3.894185642977003
Chi4v,5.067682473324995
MolMR,130.9508
MolWt,457.5590000000002
fr_SH,0
Kappa1,21.2375252884428
Kappa2,9.089658157883001
Kappa3,4.6203209099898475
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1384.5206059304005
MolLogP,3.8145000000000033
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.3865094398820919
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,19.25715155413786
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,31.07893535450078
SMR_VSA7,90.09522847865554
SMR_VSA8,0.0
SMR_VSA9,11.387855989696924
fr_Al_OH,0
