DLiP-ID,P000CY
DLiP-Mol-ID,25119
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H19N3O2S/c1-9-6-11(7-10(2)15(9)22)16-19-17(23)14-12-4-5-21(3)8-13(12)24-18(14)20-16/h6-7,22H,4-5,8H2,1-3H3,(H,19,20,23)"
Standard Inchi Key(RDKit),PXJZRFLBUBYEPV-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(-c2nc3sc4c(c3c(=O)[nH]2)CCN(C)C4)cc(C)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),341.436
MW Monoisotopic(RDKit),341.119797848
MolLogP(RDKit),2.96194
XLogP(SDF),
XLogP(CDK),2.087
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),69.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.713897884240228
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,378745.4754397218
qed,0.7138978842402282
Chi0,17.007707210578268
Chi1,11.435560745775549
TPSA,69.22
Chi0n,13.934158249366495
Chi0v,14.750654830294222
Chi1n,7.974669276045166
Chi1v,8.791165856972892
Chi2n,6.544910852617395
Chi2v,7.628532608743057
Chi3n,4.665993973654761
Chi3v,5.776653102038036
Chi4n,3.35857914853318
Chi4v,4.659122697725532
MolMR,96.85350000000001
MolWt,341.4360000000001
fr_SH,0
Kappa1,15.353685565889066
Kappa2,5.4272142102375565
Kappa3,2.3359569023680167
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,996.00627198032
MolLogP,2.9619400000000016
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.916159838563103
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,14.867866772744895
SMR_VSA4,0.0
SMR_VSA5,26.813052428219834
SMR_VSA6,13.592428388589765
SMR_VSA7,44.054039884839334
SMR_VSA8,0.0
SMR_VSA9,17.137367822980828
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,143.14923214489428
NHOHCount,2
PEOE_VSA1,14.990415646638391
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,0.0
PEOE_VSA7,56.139056616998644
PEOE_VSA8,23.530111497223448
PEOE_VSA9,5.386224214464796
RingCount,4
SMR_VSA10,21.5534065120201
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,341.11979784799996
NumHDonors,2
PEOE_VSA10,16.4043127509044
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052007
PEOE_VSA14,0.0
SlogP_VSA1,5.559266895052007
SlogP_VSA2,33.56682255617537
SlogP_VSA3,12.965578028838586
SlogP_VSA4,13.847474399381248
SlogP_VSA5,21.567501668792286
SlogP_VSA6,16.927271320995043
SlogP_VSA7,0.0
SlogP_VSA8,21.604476623782286
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.308778728335913
EState_VSA3,5.824404497999927
EState_VSA4,51.9807610356245
EState_VSA5,4.8771471937013
EState_VSA6,11.336785877934737
EState_VSA7,25.980208536304467
EState_VSA8,16.931560234474876
EState_VSA9,4.9839785209472085
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
