DLiP-ID,T003YO
DLiP-Mol-ID,21024
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H10Cl2O4/c1-19-13-6-8(14(17)18)2-4-12(13)20-11-5-3-9(15)7-10(11)16/h2-7H,1H3,(H,17,18)"
Standard Inchi Key(RDKit),MRLRZVCXQWUIBP-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C(=O)O)ccc1Oc1ccc(Cl)cc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),313.136
MW Monoisotopic(RDKit),311.99561416
MolLogP(RDKit),4.4925
XLogP(SDF),
XLogP(CDK),4.009
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.903139843969397
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transthyretin tetramer
Common Target Pref Name,Transthyretin tetramer
RDKit Descriptors
Ipc,29717.444358899902
qed,0.9031398439693974
Chi0,14.698306133819765
Chi1,9.507239053047547
TPSA,55.760000000000005
Chi0n,10.391989028047757
Chi0v,11.903846920084668
Chi1n,5.552383885575966
Chi1v,6.308312831594422
Chi2n,3.847596882683099
Chi2v,4.69123278989569
Chi3n,2.5244184459272963
Chi3v,3.0548851139320736
Chi4n,1.5613792154005226
Chi4v,2.008448981723122
MolMR,76.48930000000003
MolWt,313.13599999999997
fr_SH,0
Kappa1,14.498091472638912
Kappa2,6.028873075420501
Kappa3,3.1526845697991464
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,655.6173175423753
MolLogP,4.4925000000000015
NOCount,4
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.3524597452995772
SMR_VSA1,19.374790486512623
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,7.109797541277533
SMR_VSA7,52.006920529949305
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,125.00776031937109
NHOHCount,1
PEOE_VSA1,14.580253302440804
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.20187978046503
PEOE_VSA7,36.39820241076966
PEOE_VSA8,5.022633313741326
PEOE_VSA9,17.695882346715855
RingCount,2
SMR_VSA10,29.171185068416882
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,311.99561416
NumHDonors,1
