DLiP-ID,C000KH
DLiP-Mol-ID,30952
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N4O3S/c1-24-11-7-8-16(25-2)13(9-11)14-10-26-18-20-19-17(22(18)21-14)12-5-3-4-6-15(12)23/h3-9,23H,10H2,1-2H3"
Standard Inchi Key(RDKit),ACDHZWGXEKUUJN-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(OC)c(C2=Nn3c(nnc3-c3ccccc3O)SC2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),368.418
MW Monoisotopic(RDKit),368.094311372
MolLogP(RDKit),3.026
XLogP(SDF),
XLogP(CDK),4.406
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.762276912362097
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1555590.5961985814
qed,0.7622769123620968
Chi0,18.0956473593183
Chi1,12.707039898056806
TPSA,81.76
Chi0n,14.20937151440531
Chi0v,15.025868095333037
Chi1n,7.878122469213694
Chi1v,8.86372102886718
Chi2n,5.536716575531486
Chi2v,6.479215216391221
Chi3n,4.033277902097202
Chi3v,4.963837780415828
Chi4n,2.7299703198918976
Chi4v,3.5571632246246088
MolMR,99.32780000000001
MolWt,368.41800000000006
fr_SH,0
Kappa1,16.467455621301774
Kappa2,6.718836565096953
Kappa3,2.7768595041322315
fr_ArN,0
fr_COO,0
