DLiP-ID,C000HS
DLiP-Mol-ID,30842
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H16O4/c1-20-13-6-3-12(4-7-13)5-10-16(18)15-9-8-14(21-2)11-17(15)19/h3-11,19H,1-2H3/b10-5+"
Standard Inchi Key(RDKit),OAAPAFSEMHJNTF-BJMVGYQFSA-N
Canonical SMILES(RDKit),COc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),284.311
MW Monoisotopic(RDKit),284.104858992
MolLogP(RDKit),3.3055
XLogP(SDF),
XLogP(CDK),3.701
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.675776439803588
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,60118.565227940766
qed,0.6757764398035884
Chi0,15.242276208189782
Chi1,10.134560252985372
TPSA,55.760000000000005
Chi0n,11.868110889598182
Chi0v,11.868110889598182
Chi1n,6.372560493654963
Chi1v,6.372560493654963
Chi2n,4.353823360970888
Chi2v,4.353823360970888
Chi3n,3.0133184466476397
Chi3v,3.0133184466476397
Chi4n,1.8234993496574752
Chi4v,1.8234993496574752
MolMR,81.01730000000003
MolWt,284.311
fr_SH,0
Kappa1,14.654790015179625
Kappa2,6.610544217687075
Kappa3,3.6286534004183393
fr_ArN,0
