DLiP-ID,I001D6
DLiP-Mol-ID,25267
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H10F2N2O4/c12-5-2-1-3-6(13)9(5)10(17)15-7(11(18)19)4-8(14)16/h1-3,7H,4H2,(H2,14,16)(H,15,17)(H,18,19)/t7-/m0/s1"
Standard Inchi Key(RDKit),XFAPJIVRXVFTKU-ZETCQYMHSA-N
Canonical SMILES(RDKit),NC(=O)C[C@H](NC(=O)c1c(F)cccc1F)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),272.207
MW Monoisotopic(RDKit),272.06086324
MolLogP(RDKit),0.0231999999999992
XLogP(SDF),
XLogP(CDK),0.0459999999999999
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),109.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.701606030616165
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LFA_ICAM
Common Target Pref Name,LFA/ICAM
RDKit Descriptors
Ipc,10505.605877157894
qed,0.7016060306161646
Chi0,14.576985790260121
Chi1,8.824274960443892
TPSA,109.49
Chi0n,9.521745540044678
Chi0v,9.521745540044678
Chi1n,5.085787727152869
Chi1v,5.085787727152869
Chi2n,3.6313809106371293
Chi2v,3.6313809106371293
Chi3n,2.1985538853434807
Chi3v,2.1985538853434807
Chi4n,1.3464145758859536
Chi4v,1.3464145758859536
MolMR,59.059400000000004
MolWt,272.20699999999994
fr_SH,0
Kappa1,14.550642813826562
Kappa2,5.894163180223425
Kappa3,3.7301460579401793
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,513.1765123752476
MolLogP,0.023199999999999166
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.94060527375714
SMR_VSA1,28.27096904240581
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,5.733667477162185
SMR_VSA5,12.462662452073971
SMR_VSA6,0.0
SMR_VSA7,35.39699437917361
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,105.75573743028058
NHOHCount,4
PEOE_VSA1,16.156983476009223
PEOE_VSA2,9.589074368143644
PEOE_VSA3,13.57536727942146
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,12.13273413692322
PEOE_VSA8,0.0
PEOE_VSA9,6.4208216229260096
RingCount,1
SMR_VSA10,17.78366474665486
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,272.06086324
NumHDonors,3
PEOE_VSA10,23.239734002936746
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
