DLiP-ID,I000RR
DLiP-Mol-ID,28854
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H34N4O3/c1-14(2)18(23)21(28)25-19(15(3)4)22(29)26-12-8-11-17(26)20(27)24-13-16-9-6-5-7-10-16/h5-7,9-10,14-15,17-19H,8,11-13,23H2,1-4H3,(H,24,27)(H,25,28)/t17-,18-,19-/m0/s1"
Standard Inchi Key(RDKit),MSOXVCVBUQCJOZ-FHWLQOOXSA-N
Canonical SMILES(RDKit),CC(C)[C@H](N)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)C(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),402.539
MW Monoisotopic(RDKit),402.263090948
MolLogP(RDKit),1.4179
XLogP(SDF),
XLogP(CDK),1.773
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),104.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.611518573469984
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,2520225.2055747462
qed,0.6115185734699842
Chi0,21.55167728494828
Chi1,13.718121810561247
TPSA,104.53
Chi0n,17.851238552723625
Chi0v,17.851238552723625
Chi1n,10.400546178520901
Chi1v,10.400546178520901
Chi2n,8.39313753375752
Chi2v,8.39313753375752
Chi3n,5.399558940415353
Chi3v,5.399558940415353
Chi4n,3.450368667351834
Chi4v,3.450368667351834
MolMR,112.60580000000004
MolWt,402.53900000000004
fr_SH,0
Kappa1,22.874705325652737
Kappa2,10.390532048302022
Kappa3,6.031597736134289
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,705.2687442863605
