DLiP-ID,C003HA
DLiP-Mol-ID,32929
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H8O4/c1-5-2-9(13)14-8-4-6(11)3-7(12)10(5)8/h2-4,11-12H,1H3"
Standard Inchi Key(RDKit),QNVWGEJMXOQQPM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(=O)oc2cc(O)cc(O)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),192.17
MW Monoisotopic(RDKit),192.042258736
MolLogP(RDKit),1.51262
XLogP(SDF),
XLogP(CDK),2.275
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),70.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.62048105175956
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,1359.0779844928477
qed,0.6204810517595596
Chi0,10.292528739883947
Chi1,6.575387400469407
TPSA,70.67
Chi0n,7.4429745794965205
Chi0v,7.4429745794965205
Chi1n,4.041636838764631
Chi1v,4.041636838764631
Chi2n,3.0864798077001887
Chi2v,3.0864798077001887
Chi3n,2.005363454072773
Chi3v,2.005363454072773
Chi4n,1.450238119656533
Chi4v,1.450238119656533
MolMR,50.55060000000002
MolWt,192.17
fr_SH,0
Kappa1,8.620407990533682
Kappa2,2.765766295638917
Kappa3,1.2070578851288494
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,553.7859331372656
MolLogP,1.51262
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.0142112840201314
SMR_VSA1,14.63020572673476
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,0.0
SMR_VSA7,34.18267620023163
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
