DLiP-ID,C003KZ
DLiP-Mol-ID,32804
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H20O6/c1-26-20-11-7-14(12-19(20)25)6-9-16(22)13-17(23)10-8-15-4-3-5-18(24)21(15)27-2/h3-12,24-25H,13H2,1-2H3/b9-6+,10-8+"
Standard Inchi Key(RDKit),VZMSCIKIANDZNI-OAMUUVBCSA-N
Canonical SMILES(RDKit),COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2cccc(O)c2OC)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),368.385
MW Monoisotopic(RDKit),368.12598836
MolLogP(RDKit),3.3699
XLogP(SDF),
XLogP(CDK),2.953
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),93.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.548122832062327
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,875339.5802841736
qed,0.5481228320623274
Chi0,19.811190308942127
Chi1,12.939090705625684
