DLiP-ID,T0031Q
DLiP-Mol-ID,19610
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H20O6/c1-19-14-6-5-11(7-13(14)18)10-23-12-8-15(20-2)17(22-4)16(9-12)21-3/h5-9,18H,10H2,1-4H3"
Standard Inchi Key(RDKit),JXIPAFNBJWGSFY-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(COc2cc(OC)c(OC)c(OC)c2)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),320.341
MW Monoisotopic(RDKit),320.12598836
MolLogP(RDKit),3.0056
XLogP(SDF),
XLogP(CDK),2.633
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.845757460769609
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,151080.0907020418
qed,0.8457574607696094
Chi0,16.81962647737941
Chi1,11.1212534604299
TPSA,66.38000000000001
Chi0n,13.582313174953951
Chi0v,13.582313174953951
Chi1n,6.912183621045013
Chi1v,6.912183621045013
Chi2n,4.655918501552104
Chi2v,4.655918501552104
Chi3n,3.2870067712950903
Chi3v,3.2870067712950903
Chi4n,2.1323768530351446
Chi4v,2.1323768530351446
MolMR,85.08880000000005
MolWt,320.341
fr_SH,0
Kappa1,16.60778135983345
Kappa2,7.486864947105045
Kappa3,3.713826349987166
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,643.1234350676551
MolLogP,3.0056000000000016
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1827554004244782
SMR_VSA1,28.79084216384095
SMR_VSA2,0.0
