DLiP-ID,T004FC
BIC3,0.8754302290675885
BIC4,0.8810374122493693
BIC5,0.8978589617947106
CIC0,4.237973275227121
CIC1,2.297240478765671
CIC2,0.9746435347065674
CIC3,0.4743064655918454
CIC4,0.43982370697115414
CIC5,0.33637543110908563
GGI1,6.0
GGI2,4.000000000000002
GGI3,3.4375
GGI4,3.186666666666667
GGI5,1.9444444444444442
GGI6,1.136326530612245
GGI7,0.8090277777777778
GGI8,0.5422020660115898
GGI9,0.265
JGI1,0.16216216216216217
JGI2,0.07272727272727275
JGI3,0.05208333333333333
JGI4,0.04756218905472637
JGI5,0.029461279461279466
JGI6,0.019591836734693877
JGI7,0.016180555555555556
JGI8,0.012609350372362552
JGI9,0.00803030303030303
MIC0,17.61738452749475
MIC1,37.490716663064404
MIC2,45.483697832742294
MIC3,46.50496863289269
MIC4,46.91914104668581
MIC5,47.02341690875477
MPC2,55
MPC3,81
MPC4,117
MPC5,167
MPC6,202
MPC7,254
MPC8,304
MPC9,366
Mare,0.9928965517241379
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,0
NsSH,0
NssO,2
NssS,0
NtCH,0
NtsC,0
RNCG,0.17153385930974804
RPCG,0.1020596073971731
SIC0,0.27654711089843187
SIC1,0.6078443271365302
SIC2,0.8336212535484093
SIC3,0.9190324335319022
SIC4,0.9249188914513411
SIC5,0.9425782652096569
SaaN,0
SaaO,0
SaaS,0
Sare,57.588
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,6.041748448010194
SsLi,0
SsOH,0
SsSH,0
SssO,11.129950844920529
SssS,0
StCH,0
StsC,0
TIC0,93.96044775422615
TIC1,206.52294994899026
TIC2,283.23357270441824
TIC3,312.2531227130721
TIC4,314.25312271307223
TIC5,320.25312271307223
Vabc,414.8013882585879
WPol,66
apol,66.80982499999999
bpol,35.08617500000001
nRot,4
ABCGG,19.986507834327846
ATS0Z,1632.0
ATS0d,209.0
ATS0i,9310.696185305625
ATS0m,6560.939228000001
ATS0p,91.226242621225
ATS0s,279.89418533760096
ATS0v,13437.569344184743
ATS1Z,1668.0
ATS1d,275.0
ATS1i,8945.706543266506
ATS1m,6401.118318000003
ATS1p,116.02128775000003
ATS1s,188.8261316872428
ATS1v,17116.468858679928
ATS2Z,2612.0
ATS2d,462.0
ATS2i,17344.387881777544
ATS2m,9870.599709000004
ATS2p,182.97022652933904
ATS2s,325.466049382716
ATS2v,26492.763824209138
ATS3Z,3265.0
ATS3d,580.0
ATS3i,24102.79010231721
ATS3m,12146.544900000003
ATS3p,234.06534636613097
ATS3s,481.514403292181
ATS3v,33228.02226595848
ATS4Z,3482.0
ATS4d,593.0
ATS4i,27431.626304217323
ATS4m,12778.888976999999
ATS4p,247.88750622213104
ATS4s,561.1965020576131
ATS4v,35146.55726575751
ATS5Z,3556.0
ATS5d,577.0
ATS5i,30056.344290995858
ATS5m,12948.766204000001
ATS5p,244.24950742692295
ATS5s,664.8415637860082
ATS5v,34906.58558030528
ATS6Z,3242.0
ATS6d,527.0
ATS6i,28998.24373906763
ATS6m,11625.113936000002
ATS6p,236.668815075829
ATS6s,628.8333333333335
ATS6v,33077.83928912841
ATS7Z,2802.0
ATS7d,482.0
ATS7i,29464.33556088031
ATS7m,9953.398216000003
ATS7p,229.63086203996002
ATS7s,526.1440329218107
ATS7v,30525.368572174244
ATS8Z,2601.0
ATS8d,416.0
ATS8i,28511.35405145618
ATS8m,9278.595399
ATS8p,201.425243492148
ATS8s,502.4043209876541
ATS8v,26386.408997357288
C1SP1,0
C1SP2,2
C1SP3,1
C2SP1,0
C2SP2,10
C2SP3,7
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.4
GGI10,0.17345168860320376
JGI10,0.007541377765356684
JGT10,0.4279496601970457
Kier1,24.68371073776479
Kier2,10.16595041322314
Kier3,4.3895747599451305
MAXdO,13.564973597463675
MID_C,52.71822657330219
MID_N,4.572043592223677
MID_O,9.200223338222425
MID_X,1.7605255759801892
MID_h,15.532792506426292
MINdO,13.130214593757614
MPC10,415
MWC01,37.0
MWC02,5.220355825078324
MWC03,6.124683390894205
MWC04,7.053585727193677
MWC05,7.981049759665957
MWC06,8.919586920999915
MWC07,9.856238699935517
MWC08,10.799922455698933
MWC09,11.741884076004336
MWC10,12.688909204372086
NaaCH,6
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,6
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,3.4292000000000025
SRW02,4.31748811353631
SRW03,0.0
SRW04,5.68697535633982
SRW05,0.0
SRW06,7.278628942320682
SRW07,0.0
SRW08,8.980046316633132
SRW09,0.0
SRW10,10.743868690309933
SaaCH,10.135577010427854
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.867363682704039
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.403090119150574
SdssS,0
SsCH3,3.196358602618003
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,3.411185095951961
SsssP,0
VE1_A,4.653639611531348
VE1_D,5.6504104546538825
VE2_A,0.1410193821676166
VE2_D,0.17122455923193583
VE3_A,2.731572094069564
VE3_D,2.925650657833525
VR1_A,479.4829252295784
VR1_D,231.25022421938223
VR2_A,14.529785613017529
VR2_D,7.007582552102492
VR3_A,7.366630752630253
VR3_D,6.637422814461828
WPath,2864
Xc-3d,2.311731172813567
Xc-4d,0.0
Xc-5d,0.7582128589484384
Xc-6d,0.0
Xp-0d,23.27529192407988
Xp-1d,15.939090705625684
Xp-2d,14.515161944655441
Xp-3d,13.337942771533625
Xp-4d,11.653332239382104
Xp-5d,10.423096445368573
Xp-6d,7.754879489332206
Xp-7d,5.989828340836698
ZMIC0,107.83820255599122
ZMIC1,53.15593271890928
ZMIC2,31.38408651929857
ZMIC3,27.734822181414742
ZMIC4,26.936619216905584
ZMIC5,26.231199684158767
nAcid,0
nAtom,58
nBase,0
nRing,5
piPC1,3.8501476017100584
piPC2,4.418840607796598
piPC3,4.993828175779875
piPC4,5.510399970502822
piPC5,6.0243551713019565
piPC6,6.2463489842062545
piPC7,6.543552068622613
piPC8,6.789745655156593
piPC9,7.082732221675738
AATS0Z,28.137931034482758
AATS0d,3.603448275862069
AATS0i,160.52924457423492
AATS0m,113.11964186206899
AATS0p,1.5728662520900862
AATS0s,4.825761816165533
AATS0v,231.68223007215076
AATS1Z,26.903225806451612
AATS1d,4.435483870967742
AATS1i,144.2855894075243
AATS1m,103.24384383870972
AATS1p,1.8713110927419359
AATS1s,3.0455827691490773
AATS1v,276.0720783658053
AATS2Z,23.115044247787612
AATS2d,4.088495575221239
AATS2i,153.49015824581898
AATS2m,87.3504399026549
AATS2p,1.6192055445074252
AATS2s,2.880230525510761
AATS2v,234.44923738238174
AATS3Z,21.06451612903226
AATS3d,3.7419354838709675
AATS3i,155.50187162785295
AATS3m,78.36480580645163
AATS3p,1.5100990088137483
AATS3s,3.10654453736891
AATS3v,214.37433719973214
AATS4Z,19.78409090909091
AATS4d,3.3693181818181817
AATS4i,155.8615130921439
AATS4m,72.60732373295454
AATS4p,1.4084517398984717
AATS4s,3.1886164889637105
AATS4v,199.69634810089494
AATS5Z,18.914893617021278
AATS5d,3.0691489361702127
AATS5i,159.87417176061626
AATS5m,68.87641597872341
AATS5p,1.2991995075900156
AATS5s,3.5363912967340863
AATS5v,185.6733275548153
AATS6Z,17.813186813186814
AATS6d,2.8956043956043955
AATS6i,159.33100955531665
AATS6m,63.8742523956044
AATS6p,1.3003781048122474
AATS6s,3.455128205128206
AATS6v,181.74636972048577
AATS7Z,15.145945945945947
AATS7d,2.6054054054054054
AATS7i,159.26667870746112
AATS7m,53.80215251891894
AATS7p,1.241247902918703
AATS7s,2.844021799577355
AATS7v,165.00199228202294
AATS8Z,14.948275862068966
AATS8d,2.3908045977011496
AATS8i,163.85835661756425
AATS8m,53.3252609137931
AATS8p,1.1576163419088967
AATS8s,2.8873811551014605
AATS8v,151.64602872044418
AMID_C,1.5975220173727935
AMID_N,0.13854677552192962
AMID_O,0.2787946466128008
AMID_X,0.053349259878187553
AMID_h,0.4706906820129179
ATS0dv,477.60493827160496
ATS0pe,371.1993
ATS0se,455.7119769999999
ATS1dv,473.1111111111111
ATS1pe,405.78150000000005
ATS1se,483.7765499999998
ATS2dv,710.6666666666667
ATS2pe,732.1081999999999
ATS2se,886.3706879999997
ATS3dv,863.4444444444445
ATS3pe,991.3844
ATS3se,1208.9652839999997
ATS4dv,870.4444444444445
ATS4pe,1128.9502
ATS4se,1380.7289519999997
ATS5dv,843.7777777777778
ATS5pe,1218.4297
ATS5se,1496.791088
ATS6dv,738.5555555555555
ATS6pe,1172.7766999999997
ATS6se,1443.2618639999998
ATS7dv,614.6666666666666
ATS7pe,1125.4436999999996
ATS7se,1405.0161639999997
ATS8dv,521.5555555555555
ATS8pe,1057.5186999999999
ATS8se,1331.530908
ATSC0Z,588.6206896551724
ATSC0c,1.3052538849043822
ATSC0d,40.017241379310335
ATSC0i,82.57999177857278
ATSC0m,2769.5754977241377
ATSC0p,14.268437163800431
ATSC0s,104.55192713999655
ATSC0v,2919.178537123503
ATSC1Z,26.439952437574362
ATSC1c,-0.53419831735197
ATSC1d,18.671224732461358
ATSC1i,-16.778241762280707
ATSC1m,124.30959726040436
ATSC1p,-1.0069783270741726
ATSC1s,0.09670249525128043
ATSC1v,-22.840819797276104
ATSC2Z,59.85969084423309
ATSC2c,-0.38307077203608525
ATSC2d,9.466409036860878
ATSC2i,8.988654885999601
ATSC2m,295.54788119262787
ATSC2p,3.220986887864016
ATSC2s,2.268127839786175
ATSC2v,581.7938245539874
ATSC3Z,5.134363852556497
ATSC3c,0.24224177622168702
ATSC3d,-4.494351961950056
ATSC3i,11.796042703252724
ATSC3m,24.404449185493405
ATSC3p,-0.024929853722311823
ATSC3s,28.78453645981434
ATSC3v,147.61956057544785
ATSC4Z,-82.95243757431626
ATSC4c,0.30923103425954934
ATSC4d,-20.77645659928656
ATSC4i,-43.60114238174164
ATSC4m,-402.78805233531494
ATSC4p,-6.061524855801344
ATSC4s,-30.87641283638174
ATSC4v,-1018.7587826019501
ATSC5Z,-77.25326991676576
ATSC5c,-0.3132287083906253
ATSC5d,-18.883472057074908
ATSC5i,-6.989329933365124
ATSC5m,-362.40268386444706
ATSC5p,-1.3666458652615856
ATSC5s,-26.863480034890706
ATSC5v,-328.9417495846297
ATSC6Z,-202.29250891795485
ATSC6c,-0.13065993501592202
ATSC6d,-12.967895362663494
ATSC6i,7.55649557786637
ATSC6m,-966.3820535826396
ATSC6p,-1.8288541194529557
ATSC6s,-12.599500711424717
ATSC6v,-1062.5044112995504
ATSC7Z,60.60642092746728
ATSC7c,0.14875971149816075
ATSC7d,-1.4343043995243765
ATSC7i,-21.116372064190443
ATSC7m,273.00574584542227
ATSC7p,-2.3541271245370616
ATSC7s,1.2913930182512914
ATSC7v,-406.20739447305124
ATSC8Z,187.6551724137931
ATSC8c,0.01444893292237399
ATSC8d,1.22413793103448
ATSC8i,18.92740051483266
ATSC8m,904.7358551034482
ATSC8p,6.05990254383249
ATSC8s,2.1685390158144524
ATSC8v,1230.8221410168949
AXp-0d,0.7053118764872691
AXp-1d,0.43078623528718063
AXp-2d,0.2639120353573717
AXp-3d,0.16466596014239043
AXp-4d,0.0996011302511291
AXp-5d,0.062413751169871697
AXp-6d,0.038390492521446565
AXp-7d,0.02358200134187676
GATS1Z,0.6091331708146719
GATS1c,1.3792738896574794
GATS1d,0.6892190518547346
GATS1i,1.3515746937355824
GATS1m,0.615974195509303
GATS1p,1.051673987605338
GATS1s,0.5033800204802441
GATS1v,0.9482229730905142
GATS2Z,0.7108488731978163
GATS2c,1.3335182562499417
GATS2d,1.0588356407255037
GATS2i,1.0678207522823056
GATS2m,0.7122609443173745
GATS2p,0.8295214498565607
GATS2s,0.5761970410762802
GATS2v,0.8307251144148162
GATS3Z,0.8465389194398775
GATS3c,1.0003025979484317
GATS3d,1.254378674375617
GATS3i,1.033480719839346
GATS3m,0.8492669304190997
GATS3p,0.9595544292548621
GATS3s,0.6984176435909982
GATS3v,0.9334409480404964
GATS4Z,0.8580489095702188
GATS4c,1.0336243408518926
GATS4d,1.3272688104657084
GATS4i,1.2138962060675378
GATS4m,0.861930617954292
GATS4p,1.0857448988340168
GATS4s,1.293882876880443
GATS4v,1.0581975503971381
GATS5Z,0.898828665445163
GATS5c,1.292882653785677
GATS5d,1.2349730031992816
GATS5i,1.0366394607563607
GATS5m,0.8983443693085194
GATS5p,0.9519267879973118
GATS5s,1.5573732648847873
GATS5v,0.9569086841396895
GATS6Z,0.9252679657776317
GATS6c,1.2659813356411262
GATS6d,1.0526369365231927
GATS6i,0.9763038592374398
GATS6m,0.9278179401813961
GATS6p,0.9628555091050746
GATS6s,1.296158345657558
GATS6v,1.043140311121168
GATS7Z,0.7812354533795658
GATS7c,0.7981603982772179
GATS7d,0.9200763883228339
GATS7i,1.0400370604731508
GATS7m,0.7882190221772398
GATS7p,1.0105557094906699
GATS7s,0.9314376901795532
GATS7v,1.0498924705234953
GATS8Z,0.9413737551259519
GATS8c,0.8499280766580788
GATS8d,0.8922878069797502
GATS8i,0.8365289256965196
GATS8m,0.9387629633283756
GATS8p,0.8432893196089544
GATS8s,1.0779663031435223
GATS8v,0.8766022444092222
MATS1Z,0.04202052270536886
MATS1c,-0.38286337666597614
MATS1d,0.4364776028130257
MATS1i,-0.19006752378829375
MATS1m,0.041988248140974516
MATS1p,-0.06602068415606778
MATS1s,0.0008652506660042277
MATS1v,-0.007319599760104873
MATS2Z,0.052197354982866
MATS2c,-0.1506376640899352
MATS2d,0.12141928448601268
MATS2i,0.055868810002560144
MATS2m,0.05477270530581422
MATS2p,0.11586762362731674
MATS2s,0.01113486707913879
MATS2v,0.10229584636705978
MATS3Z,0.003263979439499604
MATS3c,0.06944649685423188
MATS3d,-0.042025823129629866
MATS3i,0.053451241408347665
MATS3m,0.0032972516707547644
MATS3p,-0.0006537920248750244
MATS3s,0.10302046199639323
MATS3v,0.018922544983323103
MATS4Z,-0.04644179048836341
MATS4c,0.07807345599441708
MATS4d,-0.17109592260389334
MATS4i,-0.17399563714440058
MATS4m,-0.047926829184253894
MATS4p,-0.13999767044645084
MATS4s,-0.09732179770607012
MATS4v,-0.11500746590701924
MATS5Z,-0.040490346383477295
MATS5c,-0.07403493670956512
MATS5d,-0.14558104998762458
MATS5i,-0.026111441677043084
MATS5m,-0.040369032514822926
MATS5p,-0.029549472263765364
MATS5s,-0.07926845156444579
MATS5v,-0.03476389944520874
MATS6Z,-0.1095218782389257
MATS6c,-0.03190098177163421
MATS6d,-0.1032711364464919
MATS6i,0.02916098589378701
MATS6m,-0.11119679078571607
MATS6p,-0.04084691517173798
MATS6s,-0.03840412712877685
MATS6v,-0.11599164031649416
MATS7Z,0.03228043509238587
MATS7c,0.03573111741740691
MATS7d,-0.011237001758328782
MATS7i,-0.08016794208764653
MATS7m,0.030904010618128624
MATS7p,-0.051726104099441346
MATS7s,0.003872421805641684
MATS7v,-0.04362580288833775
MATS8Z,0.10626830697129466
MATS8c,0.00368994188014042
MATS8d,0.010196754272583637
MATS8i,0.07640026801965928
MATS8m,0.10888983478357399
MATS8p,0.14156893929039158
MATS8s,0.006913754326468949
MATS8v,0.14054434896260476
MAXsCl,6.041748448010194
MAXssO,5.699697732755994
MINsCl,6.041748448010194
MINssO,5.430253112164534
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,3
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,43.79078486439935
SpAD_D,362.2420543561351
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.311774799519508
SssNH2,0
SsssAs,0
SsssCH,-1.2966444808376039
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,2031
TMWC10,150.38621605984298
TSRW10,70.00700741913988
VE1_Dt,5.719869348616439
VE2_Dt,0.17332937420049815
VE3_Dt,2.937868432452306
VR1_Dt,218.0103703300363
VR2_Dt,6.606374858485949
VR3_Dt,6.57846510045136
Xc-3dv,1.159947223055679
Xc-4dv,0.0
Xc-5dv,0.2515359641202273
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2995228632254586
Xch-7d,0.6931030298226687
Xp-0dv,19.301248390986288
Xp-1dv,11.498903364828635
Xp-2dv,9.131304961487233
Xp-3dv,7.264247378767914
Xp-4dv,5.795203504149418
Xp-5dv,4.627922925508035
Xp-6dv,3.0965449069340476
Xp-7dv,2.176319736455838
Xpc-4d,6.408866674497185
Xpc-5d,11.357691340763191
Xpc-6d,20.369258654647805
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,5
n7Ring,0
n8Ring,0
n9Ring,0
nARing,3
nBonds,62
nFRing,1
nHBAcc,5
nHBDon,0
nHRing,3
nSpiro,0
naRing,2
piPC10,7.341200273597258
AATS0dv,8.234567901234568
AATS0pe,6.399987931034483
AATS0se,7.857103051724136
AATS1dv,7.630824372759856
AATS1pe,6.544862903225807
AATS1se,7.8028475806451585
AATS2dv,6.289085545722714
AATS2pe,6.478833628318583
AATS2se,7.843988389380529
AATS3dv,5.570609318996416
AATS3pe,6.3960283870967745
AATS3se,7.799776025806449
AATS4dv,4.945707070707071
AATS4pe,6.414489772727273
AATS4se,7.845050863636362
AATS5dv,4.488179669030733
AATS5pe,6.481009042553191
AATS5se,7.961654723404255
AATS6dv,4.057997557997558
AATS6pe,6.44382802197802
AATS6se,7.930010241758241
AATS7dv,3.3225225225225223
AATS7pe,6.083479459459457
AATS7se,7.594681967567566
AATS8dv,2.9974457215836527
AATS8pe,6.0776936781609185
AATS8se,7.652476482758621
AATSC0Z,10.148632580261594
AATSC0c,0.022504377325937623
AATSC0d,0.6899524375743161
AATSC0i,1.4237929616995306
AATSC0m,47.75130168489893
AATSC0p,0.246007537306904
AATSC0s,1.8026194334482164
AATSC0v,50.33066443316384
AATSC1Z,0.42645084576732845
AATSC1c,-0.00861610189277371
AATSC1d,0.30114878600744127
AATSC1i,-0.27061680261743076
AATSC1m,2.0049935042000704
AATSC1p,-0.01624158592055117
AATSC1s,0.0015597176653432327
AATSC1v,-0.3684003193109049
AATSC2Z,0.5297317773825937
AATSC2c,-0.0033900068321777456
AATSC2d,0.08377353129965379
AATSC2i,0.07954561846017347
AATSC2m,2.615467975155999
AATSC2p,0.028504308742159434
AATSC2s,0.02007192778571836
AATSC2v,5.148617916406968
AATSC3Z,0.033124928081009655
AATSC3c,0.0015628501691721743
AATSC3d,-0.028995819109355198
AATSC3i,0.0761035013113079
AATSC3m,0.15744805926124777
AATSC3p,-0.00016083776595039886
AATSC3s,0.18570668683751188
AATSC3v,0.9523842617770829
AATSC4Z,-0.47132066803588785
AATSC4c,0.0017569945128383486
AATSC4d,-0.11804804885958274
AATSC4i,-0.24773376353262294
AATSC4m,-2.288568479177926
