DLiP-ID,P000FS
DLiP-Mol-ID,25779
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H13NO2/c1-12(2)8-7-11(14)9-5-3-4-6-10(9)13/h3-8,13H,1-2H3/b8-7+"
Standard Inchi Key(RDKit),SVBCOAAIOJDZNC-BQYQJAHWSA-N
Canonical SMILES(RDKit),CN(C)/C=C/C(=O)c1ccccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),191.23
MW Monoisotopic(RDKit),191.094628656
MolLogP(RDKit),1.6502
XLogP(SDF),
XLogP(CDK),2.452
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),40.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.583042563779511
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,PB1-5/H3
Common Target Pref Name,PB1-5/H3
RDKit Descriptors
Ipc,1277.4358324788504
qed,0.5830425637795109
Chi0,10.55204176387779
Chi1,6.609060905280622
TPSA,40.540000000000006
Chi0n,8.266777096601535
Chi0v,8.266777096601535
Chi1n,4.27971576084676
Chi1v,4.27971576084676
Chi2n,3.1607490687059374
Chi2v,3.1607490687059374
Chi3n,1.6935617686634754
Chi3v,1.6935617686634754
Chi4n,0.9885478530212801
Chi4v,0.9885478530212801
MolMR,55.264300000000034
MolWt,191.23
fr_SH,0
Kappa1,10.31176614881439
Kappa2,4.461634441593407
Kappa3,2.622440832671096
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,356.06009353303034
MolLogP,1.6502
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.852560486447589
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,14.09534396535438
SMR_VSA7,42.104894762197766
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,83.2821001817389
NHOHCount,1
PEOE_VSA1,10.006437125691184
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,12.13273413692322
PEOE_VSA8,26.371318962008708
PEOE_VSA9,5.563451491696996
RingCount,1
SMR_VSA10,5.783244946364939
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,1
ExactMolWt,191.094628656
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,29.885026037410505
SlogP_VSA3,0.0
