DLiP-ID,C004QW
DLiP-Mol-ID,35654
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H35NO3/c1-2-3-4-5-6-7-13-21(25)16-15-19-11-10-12-20(23-19)18-22(26)14-8-9-17-24/h6-7,10-12,15-16,21-22,24-26H,2-5,8-9,13-14,17-18H2,1H3/b7-6-,16-15+/t21-,22+/m0/s1"
Standard Inchi Key(RDKit),JNBOAUIJLDEICX-DWJNXXKWSA-N
Canonical SMILES(RDKit),CCCCC/C=C\C[C@H](O)/C=C/c1cccc(C[C@H](O)CCCCO)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),361.526
MW Monoisotopic(RDKit),361.26169398
MolLogP(RDKit),4.0483
XLogP(SDF),
XLogP(CDK),4.27
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),14
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.345185075820233
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Perilipin-1/ABHD5
Common Target Pref Name,Perilipin-1/ABHD5
RDKit Descriptors
Ipc,512906.13885388296
qed,0.34518507582023333
Chi0,19.03732313811636
Chi1,12.651397005390978
TPSA,73.58
Chi0n,16.056074616571944
Chi0v,16.056074616571944
Chi1n,9.914432835561358
Chi1v,9.914432835561358
Chi2n,6.760479314589159
Chi2v,6.760479314589159
Chi3n,4.226248474306823
Chi3v,4.226248474306823
Chi4n,2.693803551252951
Chi4v,2.693803551252951
MolMR,107.82440000000005
MolWt,361.5260000000002
fr_SH,0
Kappa1,22.550799673602615
Kappa2,14.655788348491877
Kappa3,11.188500883215427
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,527.8735744864774
MolLogP,4.048300000000004
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.400839971754311
SMR_VSA1,15.319582184522117
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,76.91906458152133
SMR_VSA6,6.606881964512918
SMR_VSA7,47.81501751558339
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,3
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,157.85856223740535
NHOHCount,3
PEOE_VSA1,15.319582184522117
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,44.0598078345059
PEOE_VSA7,56.73368398131316
PEOE_VSA8,18.72163158228739
PEOE_VSA9,17.901860770345067
RingCount,1
SMR_VSA10,6.076020106833881
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,361.26169398
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,39.118375445478854
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,69.67816617279563
SlogP_VSA6,36.427161525886476
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
