DLiP-ID,T007GI
DLiP-Mol-ID,25536
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15N3O4/c21-16(11-4-3-7-20(24)10-11)19-15(17(22)23)8-12-9-18-14-6-2-1-5-13(12)14/h1-7,9-10,15,18H,8H2,(H,19,21)(H,22,23)/t15-/m0/s1"
Standard Inchi Key(RDKit),XULIYZAMVGMBRM-HNNXBMFYSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc[n+]([O-])c1
SMILES(SDF),
MW(SDF),
MW(RDKit),325.324
MW Monoisotopic(RDKit),325.10625596
MolLogP(RDKit),1.227
XLogP(SDF),
XLogP(CDK),2.201
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),109.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.483916336782158
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,363223.8440375844
qed,0.4839163367821576
Chi0,17.10408352775558
Chi1,11.541713895658194
TPSA,109.13
Chi0n,12.599781535474314
Chi0v,12.599781535474314
Chi1n,7.318696478025528
Chi1v,7.318696478025528
Chi2n,5.380425618124371
Chi2v,5.380425618124371
Chi3n,3.739666320065642
Chi3v,3.739666320065642
Chi4n,2.551058700557249
Chi4v,2.551058700557249
