DLiP-ID,C100VT
DLiP-Mol-ID,36537
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H20O5/c24-22(25)14-3-16-1-4-17(5-2-16)18-6-8-19(9-7-18)20-10-12-21(13-11-20)28-15-23(26)27/h1-2,4-13H,3,14-15H2,(H,24,25)(H,26,27)"
Standard Inchi Key(RDKit),KNJKLBLRJBJXFN-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCc1ccc(-c2ccc(-c3ccc(OCC(=O)O)cc3)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),376.408
MW Monoisotopic(RDKit),376.13107374
MolLogP(RDKit),4.5012
XLogP(SDF),
XLogP(CDK),4.795
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),83.83
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.604626253793651
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Induced myeloid leukemia cell differentiation protein Mcl-1/Bcl-2-like protein 11
Common Target Pref Name,Induced myeloid leukemia cell differentiation protein Mcl-1/Bcl-2-like protein 11
RDKit Descriptors
Ipc,2200693.09268977
qed,0.6046262537936509
Chi0,19.932510652501765
Chi1,13.508040390846979
TPSA,83.83
Chi0n,15.168695636226662
Chi0v,15.168695636226662
Chi1n,8.873022952708144
Chi1v,8.873022952708144
Chi2n,6.374803310280152
Chi2v,6.374803310280152
Chi3n,4.349670239532863
Chi3v,4.349670239532863
Chi4n,2.8589427983931874
Chi4v,2.8589427983931874
MolMR,106.40160000000003
MolWt,376.4080000000001
fr_SH,0
Kappa1,19.169628099173558
Kappa2,8.861538461538466
Kappa3,5.203668533398265
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
