DLiP-ID,C001RU
DLiP-Mol-ID,32827
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H19BrClN3O2/c1-2-21-8-10-22(11-9-21)16-12(19)4-3-5-13(16)20-17(23)14-6-7-15(18)24-14/h3-7H,2,8-11H2,1H3,(H,20,23)"
Standard Inchi Key(RDKit),PRHPUPZVWXCHHI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),412.715
MW Monoisotopic(RDKit),411.034916628
MolLogP(RDKit),4.0897
XLogP(SDF),
XLogP(CDK),3.518
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),48.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.821552632167562
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,384659.34518170607
qed,0.8215526321675621
Chi0,17.10408352775558
Chi1,11.57971869811898
TPSA,48.72
Chi0n,13.389137969826965
Chi0v,15.731063454960125
Chi1n,7.90688985610499
Chi1v,9.07785259867157
Chi2n,5.615194971698379
Chi2v,6.803973050722422
Chi3n,4.16771099401777
Chi3v,4.898908545875583
Chi4n,2.8455436928698017
Chi4v,3.44616304977738
MolMR,100.14020000000005
MolWt,412.71500000000015
fr_SH,0
Kappa1,17.327155351936693
Kappa2,7.59115731989078
Kappa3,3.7653061224489797
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,726.375776079062
MolLogP,4.089700000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.811403933299416
SMR_VSA1,9.211688121125169
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,42.94048036441968
SMR_VSA7,45.78423151793368
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
