DLiP-ID,C001GB
DLiP-Mol-ID,32326
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H23N3O4S2/c1-29-17-12-10-16(11-13-17)19-15-30-22(23-19)24-21(26)20-9-5-6-14-25(20)31(27,28)18-7-3-2-4-8-18/h2-4,7-8,10-13,15,20H,5-6,9,14H2,1H3,(H,23,24,26)"
Standard Inchi Key(RDKit),UUTYPVHYRISWDI-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2csc(NC(=O)C3CCCCN3S(=O)(=O)c3ccccc3)n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),457.577
MW Monoisotopic(RDKit),457.112998216
MolLogP(RDKit),4.0006
XLogP(SDF),
XLogP(CDK),3.566
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),88.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.604414414302454
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,15733098.083975846
qed,0.6044144143024541
Chi0,21.846724214874854
Chi1,14.985531676523745
