DLiP-ID,T007TC
DLiP-Mol-ID,26087
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H16O3/c17-16(18)8-4-5-13-9-11-15(12-10-13)19-14-6-2-1-3-7-14/h1-3,6-7,9-12H,4-5,8H2,(H,17,18)"
Standard Inchi Key(RDKit),YTPRFJSWHCNPHB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCCc1ccc(Oc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),256.301
MW Monoisotopic(RDKit),256.109944372
MolLogP(RDKit),3.8862
XLogP(SDF),
XLogP(CDK),3.668
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),46.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.852536908158488
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,E1/E2
Common Target Pref Name,E1/E2
RDKit Descriptors
Ipc,24266.79110457513
qed,0.852536908158488
Chi0,13.501789232183626
Chi1,9.237183443017884
TPSA,46.53
Chi0n,10.581182942693962
Chi0v,10.581182942693962
Chi1n,6.2751368222011985
Chi1v,6.2751368222011985
Chi2n,4.306357086877112
Chi2v,4.306357086877112
Chi3n,2.7583532922543723
Chi3v,2.7583532922543723
Chi4n,1.7925193522780352
Chi4v,1.7925193522780352
MolMR,73.53180000000005
MolWt,256.301
fr_SH,0
Kappa1,13.148968882245832
Kappa2,6.5912420733460655
Kappa3,4.467318751880662
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,517.450126212518
MolLogP,3.8862000000000023
NOCount,3
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.893553999217276
SMR_VSA1,14.637927532712578
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,19.26246486877803
SMR_VSA6,0.0
SMR_VSA7,60.160755107851486
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,112.01756686489412
NHOHCount,1
PEOE_VSA1,9.843390348640755
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
