DLiP-ID,C0040V
DLiP-Mol-ID,34717
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H20N4O5/c28-21(17-5-2-1-3-6-17)19-20(16-7-9-18(10-8-16)27(31)32)26(23(30)22(19)29)13-4-12-25-14-11-24-15-25/h1-3,5-11,14-15,20,29H,4,12-13H2"
Standard Inchi Key(RDKit),RORZZEAZUHHOQE-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C1=C(O)C(=O)N(CCCn2ccnc2)C1c1ccc([N+](=O)[O-])cc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),432.436
MW Monoisotopic(RDKit),432.14336974
MolLogP(RDKit),3.4599
XLogP(SDF),
XLogP(CDK),3.756
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),118.57
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.3307879162841
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,25716537.04366378
qed,0.3307879162841004
Chi0,22.66456146007064
Chi1,15.469234250586762
TPSA,118.57000000000002
Chi0n,16.995934982380025
Chi0v,16.995934982380025
Chi1n,10.010401446245233
Chi1v,10.010401446245233
Chi2n,7.361220230298025
Chi2v,7.361220230298025
Chi3n,5.378436811863375
Chi3v,5.378436811863375
Chi4n,3.8287812052033616
Chi4v,3.8287812052033616
MolMR,114.8217
MolWt,432.43600000000015
fr_SH,0
Kappa1,20.980830083331842
Kappa2,8.844651692853295
Kappa3,3.9988714553240183
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1170.865408260132
MolLogP,3.459900000000002
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.6815268854679761
SMR_VSA1,19.61891281180202
SMR_VSA2,0.0
SMR_VSA3,14.450987899589041
SMR_VSA4,0.0
SMR_VSA5,19.007418857986547
SMR_VSA6,6.544756405912575
SMR_VSA7,105.89180148803023
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
