DLiP-ID,C001SE
DLiP-Mol-ID,32847
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15N3O2S/c1-22-14-4-2-12(3-5-14)10-16(21)20-17-19-15(11-23-17)13-6-8-18-9-7-13/h2-9,11H,10H2,1H3,(H,19,20,21)"
Standard Inchi Key(RDKit),ALHMHPNOEONPMW-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(CC(=O)Nc2nc(-c3ccncc3)cs2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),325.393
MW Monoisotopic(RDKit),325.08849772
MolLogP(RDKit),3.3949
XLogP(SDF),
XLogP(CDK),2.304
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),64.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.780738780115264
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,295191.2640182036
qed,0.7807387801152638
Chi0,16.070703332935974
Chi1,11.241514740667453
TPSA,64.11
Chi0n,12.522431266284688
Chi0v,13.338927847212414
Chi1n,7.031100418233026
Chi1v,7.910753229487922
Chi2n,4.846815091417695
Chi2v,5.704917943275714
Chi3n,3.2503568046438134
Chi3v,4.008077871448472
Chi4n,2.0786593018543535
Chi4v,2.814520895760443
MolMR,90.6727
MolWt,325.39300000000003
fr_SH,0
Kappa1,15.17667883986564
Kappa2,7.019949169073973
Kappa3,3.9241849274293203
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,785.1128704562725
MolLogP,3.3949000000000016
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.625267394506718
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,12.426586145283864
SMR_VSA7,59.735403816158716
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,137.54500662027803
NHOHCount,1
PEOE_VSA1,10.05365155780638
PEOE_VSA2,9.77851570501903
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,12.13273413692322
PEOE_VSA7,29.828919765543436
PEOE_VSA8,23.337201405389063
PEOE_VSA9,19.224547159052005
RingCount,3
SMR_VSA10,22.375524087125577
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,325.08849772
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,5.131558479839333
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.05365155780638
SlogP_VSA2,22.984934312523453
SlogP_VSA3,11.21535880699783
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,54.17195232446173
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,11.552380102765342
EState_VSA4,22.570342811526356
EState_VSA5,11.336785877934737
EState_VSA6,19.503484684503686
EState_VSA7,41.778265181235575
EState_VSA8,15.284745645900749
EState_VSA9,4.736862953800049
SlogP_VSA10,5.131558479839333
SlogP_VSA11,5.749511833283905
SlogP_VSA12,11.336785877934737
