DLiP-ID,C001GJ
DLiP-Mol-ID,32334
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10N2O2/c16-12-5-2-1-4-9(12)10-8-11(15-14-10)13-6-3-7-17-13/h1-8,16H,(H,14,15)"
Standard Inchi Key(RDKit),VNCRDZGBWFUPGH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1ccccc1-c1cc(-c2ccco2)[nH]n1
SMILES(SDF),
MW(SDF),
MW(RDKit),226.235
MW Monoisotopic(RDKit),226.07422756
MolLogP(RDKit),3.0423
XLogP(SDF),
XLogP(CDK),2.897
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),62.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.70551915494698
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,18648.421942399917
qed,0.7055191549469799
Chi0,11.664925939000156
Chi1,8.34333659290053
TPSA,62.050000000000004
Chi0n,8.921477634980787
Chi0v,8.921477634980787
Chi1n,5.220689138518117
Chi1v,5.220689138518117
Chi2n,3.6613103893154335
Chi2v,3.6613103893154335
Chi3n,2.5444987214224066
Chi3v,2.5444987214224066
Chi4n,1.7079749786604652
Chi4v,1.7079749786604652
MolMR,63.39050000000002
MolWt,226.235
fr_SH,0
Kappa1,9.715920755036777
Kappa2,3.8252930389178905
Kappa3,1.6934487478996363
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,626.4291010131346
MolLogP,3.042300000000002
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.0402177712870913
SMR_VSA1,9.523678331894054
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,48.72773247487033
SMR_VSA8,0.0
SMR_VSA9,28.461066733552265
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,97.5314165182634
