DLiP-ID,C001HT
DLiP-Mol-ID,32389
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H11NO2S/c1-18-15(17)11-9-13(14-7-4-8-19-14)16-12-6-3-2-5-10(11)12/h2-9H,1H3"
Standard Inchi Key(RDKit),GUYNXRMVGOLOQV-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)c1cc(-c2cccs2)nc2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),269.325
MW Monoisotopic(RDKit),269.051049592
MolLogP(RDKit),3.7499
XLogP(SDF),
XLogP(CDK),3.152
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),39.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.665027764003724
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,44969.789299361095
qed,0.6650277640037235
Chi0,13.242276208189782
Chi1,9.292024997884276
TPSA,39.19
Chi0n,10.290760620408557
Chi0v,11.107257201336283
Chi1n,5.813578921695863
Chi1v,6.693231732950758
Chi2n,4.0410886142376405
Chi2v,4.988782807236513
Chi3n,2.895116441461221
Chi3v,3.787488925501805
Chi4n,2.0047735464959198
Chi4v,2.6909671498701835
MolMR,76.39550000000004
MolWt,269.32500000000005
fr_SH,0
Kappa1,11.866093254866454
Kappa2,4.818489641345512
Kappa3,2.105870496346687
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
