DLiP-ID,C001FI
DLiP-Mol-ID,32297
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H10BrClN2O2/c1-13(15-2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)"
Standard Inchi Key(RDKit),NLYNUTMZTCLNOO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),293.548
MW Monoisotopic(RDKit),291.96141734
MolLogP(RDKit),3.1276
XLogP(SDF),
XLogP(CDK),2.387
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),41.57
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.851257210172857
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1999.368972160739
qed,0.8512572101728574
Chi0,11.422285251880869
Chi1,7.040912557858759
TPSA,41.57
Chi0n,8.251689930015017
Chi0v,10.593615415148177
Chi1n,4.081765359502599
Chi1v,5.252728102069179
Chi2n,2.739082789973739
Chi2v,4.000619815888866
Chi3n,1.7307344807269072
Chi3v,2.9632203406842215
Chi4n,0.8589953813770544
Chi4v,1.2861638309643146
MolMR,62.94270000000002
MolWt,293.548
fr_SH,0
Kappa1,12.290323488045008
Kappa2,5.344008008480588
Kappa3,3.370769532398785
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,2
fr_azo,0
BertzCT,373.1300188482176
MolLogP,3.127600000000002
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.7296891226311293
SMR_VSA1,9.632125767808455
SMR_VSA2,0.0
SMR_VSA3,5.063217724965349
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,19.474258127961054
SMR_VSA7,27.69445403495857
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,101.23584497804985
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.8375885837366335
PEOE_VSA3,9.85775490903717
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,34.12904510333418
PEOE_VSA8,17.207777773193165
PEOE_VSA9,12.13243085501886
RingCount,1
SMR_VSA10,39.2493845752035
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,291.96141733999997
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,5.316788604006331
SlogP_VSA2,25.251801761258143
SlogP_VSA3,4.8375885837366335
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,22.671820721217244
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,6.031114512338072
EState_VSA3,10.710019588424888
EState_VSA4,9.535937240797763
EState_VSA5,14.157469523954724
EState_VSA6,18.19910120538483
EState_VSA7,0.0
EState_VSA8,21.24673250195568
EState_VSA9,16.43852847396915
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SlogP_VSA12,27.530883788181864
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
