DLiP-ID,T001OT
DLiP-Mol-ID,17507
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H27NO5S/c1-27-20-13-11-18(12-14-20)9-6-16-28-22(24)21-10-5-15-23(21)29(25,26)17-19-7-3-2-4-8-19/h2-4,7-8,11-14,21H,5-6,9-10,15-17H2,1H3/t21-/m0/s1"
Standard Inchi Key(RDKit),FWKKSLROYPSVPF-NRFANRHFSA-N
Canonical SMILES(RDKit),COc1ccc(CCCOC(=O)[C@@H]2CCCN2S(=O)(=O)Cc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),417.527
MW Monoisotopic(RDKit),417.160993964
MolLogP(RDKit),3.1654
XLogP(SDF),
XLogP(CDK),3.555
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.91
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.46288189766902
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,4364264.735435053
qed,0.46288189766901977
Chi0,20.692023676495605
Chi1,13.992331727797284
TPSA,72.91
Chi0n,16.61995349848523
Chi0v,17.436450079412957
Chi1n,9.824386184095776
Chi1v,11.433551491622179
Chi2n,7.129691790332943
Chi2v,9.051212896378928
Chi3n,5.038119189028634
Chi3v,6.887905355482754
Chi4n,3.5138862235215065
Chi4v,5.279868646124639
MolMR,111.06780000000003
MolWt,417.5270000000001
fr_SH,0
Kappa1,21.33177739980398
Kappa2,9.892960617027844
Kappa3,5.805309683704986
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,896.5596839075397
MolLogP,3.1654000000000018
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.4975314061585192
SMR_VSA1,22.686060076000857
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,37.477980927598786
SMR_VSA6,20.26143591170303
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,172.0413094376738
NHOHCount,0
PEOE_VSA1,9.473725907600098
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,48.942923612021254
PEOE_VSA8,6.544756405912575
PEOE_VSA9,19.469533112537242
RingCount,3
SMR_VSA10,15.992596441359433
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,417.160993964
NumHDonors,0
PEOE_VSA10,11.791352662431866
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.736862953800049
SlogP_VSA2,44.99559500442801
SlogP_VSA3,31.728366520952253
SlogP_VSA4,0.0
SlogP_VSA5,30.38936785217202
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,22.034437270507393
EState_VSA2,12.359735571259707
EState_VSA3,31.3706727663876
EState_VSA4,17.733784947906912
EState_VSA5,4.305215991296234
EState_VSA6,19.242531678200752
EState_VSA7,42.46456947923127
EState_VSA8,0.0
EState_VSA9,9.473725907600098
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
