DLiP-ID,T004IT
DLiP-Mol-ID,18979
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29N3O5S/c1-3-15-27-26(32)28-22-9-6-8-21(17-22)20-13-11-19(12-14-20)16-23(25(30)31)29-35(33,34)24-10-5-4-7-18(24)2/h4-14,17,23,29H,3,15-16H2,1-2H3,(H,30,31)(H2,27,28,32)/t23-/m0/s1"
Standard Inchi Key(RDKit),OGDFUBCUOQLOFA-QHCPKHFHSA-N
Canonical SMILES(RDKit),CCCNC(=O)Nc1cccc(-c2ccc(C[C@H](NS(=O)(=O)c3ccccc3C)C(=O)O)cc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),495.601
MW Monoisotopic(RDKit),495.182792028
MolLogP(RDKit),4.16772
XLogP(SDF),
XLogP(CDK),4.065
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),124.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.336053246112279
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,45350069.91850818
qed,0.3360532461122795
Chi0,25.424074484064484
Chi1,16.690709030554945
TPSA,124.60000000000001
Chi0n,19.615328890844054
Chi0v,20.43182547177178
Chi1n,11.243333513319087
Chi1v,12.72649676091348
Chi2n,8.140361432140354
Chi2v,9.822763673549868
Chi3n,5.361706983193857
Chi3v,6.993613998113821
Chi4n,3.5474059271030276
Chi4v,4.982730708143614
MolMR,135.81869999999995
MolWt,495.6010000000002
fr_SH,0
Kappa1,25.924218605079997
Kappa2,11.63353436708487
Kappa3,7.144627522763523
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1290.3492252923706
MolLogP,4.167720000000003
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.7202118079244604
SMR_VSA1,23.113398747313283
SMR_VSA2,0.0
SMR_VSA3,10.038883468458419
SMR_VSA4,0.0
SMR_VSA5,37.626441949899004
SMR_VSA6,11.861545009918906
SMR_VSA7,83.92330780493333
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,204.9927688423206
NHOHCount,4
PEOE_VSA1,15.740104602853368
PEOE_VSA2,4.794537184071822
PEOE_VSA3,13.212334168400758
PEOE_VSA4,4.722094864452088
PEOE_VSA5,0.0
PEOE_VSA6,61.52104081584511
PEOE_VSA7,60.218287617715454
PEOE_VSA8,12.232142680596137
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,27.711097228381064
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,495.1827920279999
NumHDonors,4
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,12.000419800289922
SlogP_VSA1,15.355672072464749
SlogP_VSA2,38.1113414145201
SlogP_VSA3,21.238649960405414
SlogP_VSA4,6.923737199690624
SlogP_VSA5,24.471461806010623
SlogP_VSA6,77.6918882970571
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,22.034437270507397
EState_VSA2,17.347419610781856
EState_VSA3,23.359045663990127
EState_VSA4,17.54772460632
EState_VSA5,6.06636706846161
EState_VSA6,43.321939610460284
EState_VSA7,37.255572541998674
EState_VSA8,15.355672072464749
EState_VSA9,0.0
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
