DLiP-ID,C101QF
DLiP-Mol-ID,37214
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H27N3O2S/c1-17-6-5-7-18(2)25(17)29-26(31)23(28-24(30)11-10-19-12-13-32-16-19)14-20-15-27-22-9-4-3-8-21(20)22/h3-9,12-13,15-16,23,27H,10-11,14H2,1-2H3,(H,28,30)(H,29,31)"
Standard Inchi Key(RDKit),QSEDWPXFGFLBIO-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccc(C)c1NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCc1ccsc1
SMILES(SDF),
MW(SDF),
MW(RDKit),445.588
MW Monoisotopic(RDKit),445.182398104
MolLogP(RDKit),5.14504
XLogP(SDF),
XLogP(CDK),4.069
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.99
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.351079060530753
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumor necrosis factor ligand superfamily member 11/11A
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,26089099.760302532
qed,0.3510790605307529
Chi0,22.50142475325411
Chi1,15.50804039084698
TPSA,73.99000000000001
Chi0n,18.274268445226745
Chi0v,19.09076502615447
Chi1n,10.73531261944671
Chi1v,11.678121661028772
Chi2n,8.071379107833756
Chi2v,8.85141242218109
Chi3n,5.700828650920792
Chi3v,6.432878448315001
Chi4n,3.9108980836568894
Chi4v,4.614036404243718
MolMR,131.1191
MolWt,445.5880000000002
fr_SH,0
Kappa1,21.837013707607056
Kappa2,9.830614018151385
Kappa3,5.084809345761102
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1206.8493844505963
MolLogP,5.145040000000004
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5334786952655473
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
