DLiP-ID,P000ES
DLiP-Mol-ID,25583
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H23N3O3S/c1-3-28(26,27)15-6-7-18-16(8-15)17-12-23(2)21(25)20-19(17)14(9-22-20)11-24(18)10-13-4-5-13/h6-9,12-13,22H,3-5,10-11H2,1-2H3"
Standard Inchi Key(RDKit),RZNRQDHAAUZMFW-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCS(=O)(=O)c1ccc2c(c1)-c1cn(C)c(=O)c3[nH]cc(c13)CN2CC1CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),397.5
MW Monoisotopic(RDKit),397.146012596
MolLogP(RDKit),3.0572
XLogP(SDF),
XLogP(CDK),4.374
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),75.17
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.734208456692654
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-2/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,4275800.002030083
qed,0.734208456692654
Chi0,19.62902755413791
Chi1,13.386178577914638
TPSA,75.17
Chi0n,16.027055873925864
Chi0v,16.843552454853587
Chi1n,9.704802689841197
Chi1v,11.357067916161352
Chi2n,7.929022508284833
Chi2v,10.207273050472619
Chi3n,5.962895440748988
Chi3v,7.695142502613625
Chi4n,4.195132629208965
Chi4v,5.101253008658349
MolMR,110.47650000000006
MolWt,397.5000000000002
