DLiP-ID,C000DK
DLiP-Mol-ID,30658
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H10ClN3O/c13-9-1-3-10(4-2-9)15-12(17)16-11-5-7-14-8-6-11/h1-8H,(H2,14,15,16,17)"
Standard Inchi Key(RDKit),AAVUKLGYVIGYKQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccncc1)Nc1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),247.685
MW Monoisotopic(RDKit),247.05123962
MolLogP(RDKit),3.379
XLogP(SDF),
XLogP(CDK),1.852
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),54.02
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.854823303161384
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8918.649358205357
qed,0.8548233031613844
Chi0,12.08757566981053
Chi1,8.237183443017882
TPSA,54.02
Chi0n,8.852228512490056
Chi0v,9.608157458508511
Chi1n,4.9748883021330785
Chi1v,5.352852775142306
Chi2n,3.3219059001575073
Chi2v,3.7583416806294916
Chi3n,2.0402794257349077
Chi3v,2.292255741074392
Chi4n,1.2619081246413402
Chi4v,1.3878962823110825
MolMR,68.33040000000003
MolWt,247.685
fr_SH,0
Kappa1,11.41643449113727
Kappa2,5.316302805817129
Kappa3,3.4621557914861376
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,498.9190076839117
MolLogP,3.3790000000000013
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.9582739494274897
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,10.633577208012662
SMR_VSA7,53.81452286773713
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,103.63760011504564
NHOHCount,2
PEOE_VSA1,10.633577208012662
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,36.39820241076966
PEOE_VSA8,28.791093006334602
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,29.00682695193771
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,247.05123962
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,10.633577208012662
SlogP_VSA2,11.01509303328528
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,48.79188955399581
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
