DLiP-ID,I000XQ
DLiP-Mol-ID,29118
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N4O3/c1-3-32-25-13-18(29-19-9-11-26-20(12-19)16-30)4-7-23(25)27-10-8-17-15-28-24-14-21(31-2)5-6-22(17)24/h4-7,9,11-15,27-28,30H,3,8,10,16H2,1-2H3,(H,26,29)"
Standard Inchi Key(RDKit),PPCMBJLWZQUCAN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1cc(Nc2ccnc(CO)c2)ccc1NCCc1c[nH]c2cc(OC)ccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),432.524
MW Monoisotopic(RDKit),432.216140756
MolLogP(RDKit),4.8607
XLogP(SDF),
XLogP(CDK),3.135
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),91.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.286062780533189
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,27683011.52799509
qed,0.2860627805331886
Chi0,22.338288046437583
Chi1,15.694534443300771
TPSA,91.42999999999999
Chi0n,18.312853588570093
Chi0v,18.312853588570093
Chi1n,10.673748871735457
Chi1v,10.673748871735457
Chi2n,7.365123823043758
Chi2v,7.365123823043758
Chi3n,5.233070668196005
Chi3v,5.233070668196005
Chi4n,3.6611878738640784
Chi4v,3.6611878738640784
MolMR,128.0979
MolWt,432.5240000000002
fr_SH,0
Kappa1,21.519337282410824
Kappa2,10.06490166748656
Kappa3,4.9488026379187176
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1188.9995372752321
MolLogP,4.860700000000003
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.435733103639527
SMR_VSA1,14.580253302440804
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,19.951440787129552
SMR_VSA6,30.89501311971569
SMR_VSA7,72.1820031774645
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,186.96676573012655
NHOHCount,4
PEOE_VSA1,30.197809031400674
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,55.306212725083284
PEOE_VSA8,53.34887516751013
PEOE_VSA9,31.70487573983539
RingCount,4
SMR_VSA10,27.965083756131747
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,432.21614075599996
NumHDonors,4
PEOE_VSA10,11.49902366656781
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,20.10730311561276
SlogP_VSA2,35.33592034843815
SlogP_VSA3,13.027703587438928
SlogP_VSA4,0.0
SlogP_VSA5,18.18111668623608
SlogP_VSA6,60.92462369091903
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
