DLiP-ID,C000ZN
DLiP-Mol-ID,31612
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H13N5/c1-9-3-5-11(6-4-9)17-12-7-10(2)16-13-14-8-15-18(12)13/h3-8,17H,1-2H3"
Standard Inchi Key(RDKit),DSIFRBWQRQZHCP-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(Nc2cc(C)nc3ncnn23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),239.282
MW Monoisotopic(RDKit),239.117095416
MolLogP(RDKit),2.48474
XLogP(SDF),
XLogP(CDK),2.374
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.746081828100451
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,22375.935236511268
qed,0.7460818281004508
Chi0,12.535169427003234
Chi1,8.720346690612276
TPSA,55.11
Chi0n,10.252955997137589
Chi0v,10.252955997137589
Chi1n,5.7331492424797625
Chi1v,5.7331492424797625
Chi2n,4.245631109645607
Chi2v,4.245631109645607
Chi3n,2.7038778940789774
Chi3v,2.7038778940789774
Chi4n,1.8044166672696142
Chi4v,1.8044166672696142
MolMR,69.98070000000001
MolWt,239.28200000000004
fr_SH,0
Kappa1,10.706911011130696
Kappa2,4.103531684094625
Kappa3,1.902600999392251
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,684.1730274917586
MolLogP,2.4847400000000004
NOCount,5
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,2.033823175546397
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,19.582036743811077
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,5.316788604006331
SMR_VSA7,47.91653490361805
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,104.51380164441889
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,14.598058222863868
PEOE_VSA5,0.0
PEOE_VSA6,17.696185628620217
PEOE_VSA7,25.980208536304467
PEOE_VSA8,17.447681337993632
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.282902776437783
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,239.11709541599998
NumHDonors,1
PEOE_VSA10,12.14518285259957
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.777653723919194
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,19.582036743811077
SlogP_VSA3,0.0
SlogP_VSA4,13.847474399381248
SlogP_VSA5,11.257379486545457
