DLiP-ID,T004JE
DLiP-Mol-ID,19042
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H17N5O4S/c1-21-11-8-22(7-6-12(23)24)16(26)13(11)27-17(21)20-15(25)10-4-2-9(3-5-10)14(18)19/h2-5H,6-8H2,1H3,(H3,18,19)(H,23,24)/b20-17-"
Standard Inchi Key(RDKit),OHYSAAPBMBXXQQ-JZJYNLBNSA-N
Canonical SMILES(RDKit),Cn1c2c(s/c1=N\C(=O)c1ccc(C(=N)N)cc1)C(=O)N(CCC(=O)O)C2
SMILES(SDF),
MW(SDF),
MW(RDKit),387.421
MW Monoisotopic(RDKit),387.100125024
MolLogP(RDKit),0.542269999999999
XLogP(SDF),
XLogP(CDK),1.194
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),141.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.507014806856471
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1180806.2417723124
qed,0.5070148068564714
Chi0,19.714813991764814
Chi1,12.773764703227073
TPSA,141.84
Chi0n,14.429919233363059
Chi0v,15.246415814290787
Chi1n,8.009079761020445
Chi1v,8.825576341948171
Chi2n,5.997899094462906
Chi2v,6.975419901828814
Chi3n,4.204972274782688
Chi3v,5.367064063985576
Chi4n,2.6803902014204373
Chi4v,3.7743455379894204
MolMR,97.63490000000004
MolWt,387.4210000000002
fr_SH,0
Kappa1,18.518978916304615
Kappa2,7.155234876313399
Kappa3,3.6501699301967507
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1018.9350108800664
MolLogP,0.5422699999999996
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.8352412077612383
