DLiP-ID,T007JQ
DLiP-Mol-ID,25681
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H34N4O5/c1-6-11(4)15(19(27)28)22-17(25)13-8-7-9-23(13)18(26)14(10(2)3)21-16(24)12(5)20/h10-15H,6-9,20H2,1-5H3,(H,21,24)(H,22,25)(H,27,28)/t11-,12-,13-,14-,15-/m0/s1"
Standard Inchi Key(RDKit),YARBOBGBIYUVQB-YTFOTSKYSA-N
Canonical SMILES(RDKit),CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),398.504
MW Monoisotopic(RDKit),398.252920188
MolLogP(RDKit),0.0809000000000044
XLogP(SDF),
XLogP(CDK),-1.626
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),141.83
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.433281419942925
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,886983.2727498442
qed,0.4332814199429251
Chi0,21.593493648205175
Chi1,13.005014172996518
TPSA,141.82999999999998
Chi0n,17.39729936192894
Chi0v,17.39729936192894
Chi1n,9.903192078633339
Chi1v,9.903192078633339
Chi2n,7.918638669759656
