DLiP-ID,T002YD
DLiP-Mol-ID,19461
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H20Cl2N2O6S/c1-30-15-4-2-12(3-5-15)17(11-19(25)26)23-20(27)18-6-7-24(18)31(28,29)16-9-13(21)8-14(22)10-16/h2-5,8-10,17-18H,6-7,11H2,1H3,(H,23,27)(H,25,26)/t17-,18+/m1/s1"
Standard Inchi Key(RDKit),JSMSAVCWGLIOCE-MSOLQXFVSA-N
Canonical SMILES(RDKit),COc1ccc([C@@H](CC(=O)O)NC(=O)[C@@H]2CCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),487.361
MW Monoisotopic(RDKit),486.04191272
MolLogP(RDKit),3.0972
XLogP(SDF),
XLogP(CDK),3.045
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),113.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.591974012562384
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4122232.4278941816
qed,0.5919740125623837
Chi0,22.758784066134826
Chi1,14.611429334209976
TPSA,113.00999999999999
Chi0n,16.417318646067827
Chi0v,18.745673119032464
Chi1n,9.25614370500342
Chi1v,11.452135979822515
Chi2n,6.957576299506693
Chi2v,9.721002461323058
Chi3n,4.929262996113598
Chi3v,7.251634170847919
Chi4n,3.2569960016190374
Chi4v,5.616944515671649
MolMR,114.88930000000002
MolWt,487.3610000000001
fr_SH,0
Kappa1,23.335572457481213
Kappa2,9.436113744564363
Kappa3,5.296984718849794
fr_ArN,0
fr_COO,1
fr_C_O,2
