DLiP-ID,T007CH
DLiP-Mol-ID,25363
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H27ClN2O6/c1-33-20-12-15(13-21(34-2)24(20)35-3)23(30)26(32)29-18-5-4-6-19(29)25(31)28-10-9-14-11-16(27)7-8-17(14)22(18)28/h7-8,11-13,18-19,22H,4-6,9-10H2,1-3H3"
Standard Inchi Key(RDKit),XKMZDPUECWRNRR-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C(=O)C(=O)N2C3CCCC2C2c4ccc(Cl)cc4CCN2C3=O)cc(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),498.963
MW Monoisotopic(RDKit),498.155764264
MolLogP(RDKit),3.4378
XLogP(SDF),
XLogP(CDK),3.049
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),85.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.4635349038707
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,92287622.58419602
qed,0.46353490387070023
Chi0,24.852642193269503
Chi1,16.887779110609426
TPSA,85.38000000000002
Chi0n,19.87621746624207
Chi0v,20.632146412260525
Chi1n,11.649977994181869
Chi1v,12.027942467191096
Chi2n,9.039215891464853
Chi2v,9.475651671936836
Chi3n,7.34028852415162
Chi3v,7.575385626939359
Chi4n,5.808060108306807
Chi4v,6.0027603346817235
MolMR,128.31150000000005
MolWt,498.96300000000025
fr_SH,0
Kappa1,23.480403316998444
Kappa2,9.07352845196791
Kappa3,3.7089105356899656
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1189.3184431087345
MolLogP,3.437800000000002
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5359288007939704
SMR_VSA1,28.59420041361561
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,43.808808979147926
SMR_VSA6,27.874149029745176
SMR_VSA7,52.04482313114036
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,208.22832902246623
NHOHCount,0
PEOE_VSA1,24.010408323101103
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.667306958694127
PEOE_VSA7,61.07565774894447
PEOE_VSA8,17.130841211350898
PEOE_VSA9,33.41307428212852
RingCount,5
SMR_VSA10,29.198544295300465
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,498.15576426399997
NumHDonors,0
PEOE_VSA10,6.041840829147961
PEOE_VSA11,11.49902366656781
PEOE_VSA12,11.65669156263541
PEOE_VSA13,11.690424675716445
PEOE_VSA14,0.0
SlogP_VSA1,14.210588861400147
SlogP_VSA2,67.35525455481
SlogP_VSA3,16.00989599106965
SlogP_VSA4,0.0
SlogP_VSA5,46.789197357088796
SlogP_VSA6,30.33183534230805
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,3
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.732265504864404
EState_VSA2,35.05333654591223
