DLiP-ID,C1022R
DLiP-Mol-ID,40777
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H16ClN5O4/c17-10-7-15(22(25)26)14(18-4-1-5-23)8-12(10)19-9-2-3-11-13(6-9)21-16(24)20-11/h2-3,6-8,18-19,23H,1,4-5H2,(H2,20,21,24)"
Standard Inchi Key(RDKit),OYMBPGIJVSFLHA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1[nH]c2ccc(Nc3cc(NCCCO)c([N+](=O)[O-])cc3Cl)cc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),377.788
MW Monoisotopic(RDKit),377.089081672
MolLogP(RDKit),2.9557
XLogP(SDF),
XLogP(CDK),2.768
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),136.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.243772168148733
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCoR-BCL6
Common Target Pref Name,BCoR/BCL6
RDKit Descriptors
Ipc,809561.0440860881
qed,0.24377216814873306
Chi0,18.681433796945203
Chi1,12.473565548236332
TPSA,136.08
Chi0n,13.505208224908506
Chi0v,14.261137170926961
Chi1n,7.794377117858585
Chi1v,8.172341590867813
Chi2n,5.57473723053684
Chi2v,5.981937357277447
Chi3n,3.7273848852052676
Chi3v,4.040093893693567
Chi4n,2.5191138995408906
Chi4v,2.724263407432467
MolMR,100.50099999999999
MolWt,377.78800000000007
fr_SH,0
Kappa1,17.77245377218935
Kappa2,7.460630412484023
Kappa3,3.7866588114427007
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1013.5330168350379
MolLogP,2.955700000000001
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9263969314450364
SMR_VSA1,10.029838443658377
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,23.785215578438155
SMR_VSA7,55.95306750709024
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,2
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,151.70551877128415
NHOHCount,5
PEOE_VSA1,25.708061644747783
PEOE_VSA2,10.114318268765572
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,30.68628989677245
