DLiP-ID,C000MC
DLiP-Mol-ID,31043
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15N3O2/c24-19-15-11-17(21-13-7-3-1-4-8-13)18(12-16(15)20(25)23-19)22-14-9-5-2-6-10-14/h1-12,21-22H,(H,23,24,25)"
Standard Inchi Key(RDKit),AAALVYBICLMAMA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21
SMILES(SDF),
MW(SDF),
MW(RDKit),329.359
MW Monoisotopic(RDKit),329.11642672
MolLogP(RDKit),4.0574
XLogP(SDF),
XLogP(CDK),3.416
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),70.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.631443111926392
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,872353.2489841569
qed,0.6314431119263917
Chi0,17.225403871315226
Chi1,12.203509938206668
TPSA,70.23
Chi0n,13.24469981120324
Chi0v,13.24469981120324
