DLiP-ID,C100IH
DLiP-Mol-ID,36455
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10Cl2N2OS/c16-11-4-3-9(7-12(11)17)6-10-8-13(18-19-15(10)20)14-2-1-5-21-14/h1-5,7-8H,6H2,(H,19,20)"
Standard Inchi Key(RDKit),HQWJZINUJMPQHB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1[nH]nc(-c2cccs2)cc1Cc1ccc(Cl)c(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),337.231
MW Monoisotopic(RDKit),335.9890893
MolLogP(RDKit),4.396
XLogP(SDF),
XLogP(CDK),4.076
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),45.75
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.770085688225291
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,97421.17886276636
qed,0.7700856882252912
Chi0,14.819626477379408
Chi1,10.131030293135234
TPSA,45.75
Chi0n,10.768197787960068
Chi0v,13.096552260924705
Chi1n,6.196961342718803
Chi1v,7.832543099992153
Chi2n,4.510086563737979
Chi2v,6.272181010218064
Chi3n,3.0327135979745568
Chi3v,4.664115360753157
Chi4n,1.997006478223256
Chi4v,3.003888465642177
MolMR,87.43870000000003
MolWt,337.231
fr_SH,0
Kappa1,14.322848067093647
Kappa2,6.015469265537557
Kappa3,3.1799616194230493
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,827.9400615236377
MolLogP,4.396000000000002
NOCount,3
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9604478529088263
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
