DLiP-ID,T007KC
DLiP-Mol-ID,25703
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N4O4S/c20-28(25,26)16-10-8-15(9-11-16)22-19(24)23-18-17(7-4-12-21-18)27-13-14-5-2-1-3-6-14/h1-12H,13H2,(H2,20,25,26)(H2,21,22,23,24)"
Standard Inchi Key(RDKit),YBZHDQYLQLICSJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),NS(=O)(=O)c1ccc(NC(=O)Nc2ncccc2OCc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),398.444
MW Monoisotopic(RDKit),398.104876056
MolLogP(RDKit),2.952
XLogP(SDF),
XLogP(CDK),2.042
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),123.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.588923205048585
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,1928793.5305089653
qed,0.5889232050485854
Chi0,19.984916895309063
Chi1,13.414834803611855
TPSA,123.41
Chi0n,14.70111532847096
Chi0v,15.517611909398687
Chi1n,8.242834850940227
Chi1v,9.789154328861791
Chi2n,5.772929470440058
Chi2v,7.334352527907643
Chi3n,3.68050688772508
Chi3v,4.609738121136651
Chi4n,2.334049532963383
Chi4v,2.849489358937237
MolMR,105.4676
MolWt,398.44400000000013
fr_SH,0
Kappa1,19.334868055054862
Kappa2,8.50629246345514
Kappa3,5.286236403307169
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1054.8064410866702
MolLogP,2.952000000000001
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.637801490797755
SMR_VSA1,17.949197122200808
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.138973737607942
SMR_VSA5,11.502365440030694
SMR_VSA6,10.633577208012662
SMR_VSA7,78.49033281638779
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
