DLiP-ID,T007IZ
DLiP-Mol-ID,25648
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H21Cl2N3O5/c1-3-33-18-12-26-28(2)22(30)19(18)14-9-7-13(8-10-14)11-17(23(31)32)27-21(29)20-15(24)5-4-6-16(20)25/h4-10,12,17H,3,11H2,1-2H3,(H,27,29)(H,31,32)/t17-/m0/s1"
Standard Inchi Key(RDKit),XYWVQRVWQOAUHV-KRWDZBQOSA-N
Canonical SMILES(RDKit),CCOc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),490.343
MW Monoisotopic(RDKit),489.085826132
MolLogP(RDKit),3.5785
XLogP(SDF),
XLogP(CDK),2.802
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),110.52
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.499705672181382
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,16944320.72659085
qed,0.49970567218138173
Chi0,24.120591385700628
Chi1,15.72245310821082
TPSA,110.52
Chi0n,17.840928879453507
Chi0v,19.35278677149042
Chi1n,9.986080276209178
Chi1v,10.742009222227633
Chi2n,7.107583825842028
Chi2v,7.92198407932324
Chi3n,4.877897164296105
Chi3v,5.507837952644815
Chi4n,3.2423242445195326
Chi4v,3.8114117192186856
MolMR,125.13900000000002
MolWt,490.3430000000002
fr_SH,0
Kappa1,24.285736405612447
Kappa2,10.50407513436328
Kappa3,5.527427684296266
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1221.5845426128155
MolLogP,3.578500000000002
NOCount,8
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.8349758841033166
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,15.097273347452553
SMR_VSA4,7.04767198267719
SMR_VSA5,19.386399651764595
SMR_VSA6,6.606881964512918
SMR_VSA7,80.18738674084483
SMR_VSA8,0.0
