DLiP-ID,T007FJ
DLiP-Mol-ID,25500
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N2O5S/c1-15(25)24-14-30-13-20(24)21(26)23-19(22(27)28)11-16-7-9-18(10-8-16)29-12-17-5-3-2-4-6-17/h2-10,19-20H,11-14H2,1H3,(H,23,26)(H,27,28)/t19-,20-/m0/s1"
Standard Inchi Key(RDKit),XSVWCUOLZFHGBK-PMACEKPBSA-N
Canonical SMILES(RDKit),CC(=O)N1CSC[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),428.51
MW Monoisotopic(RDKit),428.140592868
MolLogP(RDKit),2.2989
XLogP(SDF),
XLogP(CDK),2.508
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),95.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.669906889278847
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6717477.792742739
qed,0.6699068892788467
Chi0,21.50986092169139
Chi1,14.435560745775547
TPSA,95.94000000000001
Chi0n,16.61494872915131
Chi0v,17.431445310079035
Chi1n,9.575841809443713
Chi1v,10.730542347822965
Chi2n,7.026253835827527
Chi2v,8.026034349371885
Chi3n,4.8155237877549215
Chi3v,5.8277087425257115
Chi4n,3.1365726960613283
Chi4v,4.355007181991693
MolMR,114.11950000000004
MolWt,428.5100000000002
fr_SH,0
Kappa1,21.702734839476815
Kappa2,10.15625
Kappa3,5.76
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,888.1607225339822
MolLogP,2.2988999999999997
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5724878017062505
SMR_VSA1,24.227001900856223
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,32.03512244542547
SMR_VSA6,11.629641996480146
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,178.95723847700862
NHOHCount,2
PEOE_VSA1,20.06008868349756
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,11.761884949391115
PEOE_VSA6,42.46456947923127
PEOE_VSA7,23.259637120317212
PEOE_VSA8,19.097412429363423
PEOE_VSA9,5.876788389733356
RingCount,3
SMR_VSA10,29.545549696045974
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,428.14059286799994
NumHDonors,2
PEOE_VSA10,24.440075456092746
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,51.503425527122104
SlogP_VSA3,27.411315139654395
SlogP_VSA4,0.0
SlogP_VSA5,18.050640183084614
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,23.960166675599275
EState_VSA2,12.328001352277514
EState_VSA3,23.98603579427697
EState_VSA4,11.126902983393991
EState_VSA5,23.58553187993222
EState_VSA6,24.26546827384644
EState_VSA7,30.33183534230805
