DLiP-ID,T000C3
DLiP-Mol-ID,15774
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H15ClN2O4/c22-16-10-8-15(9-11-16)21(26)19-7-2-1-6-18(19)20(25)23(21)13-14-4-3-5-17(12-14)24(27)28/h1-12,26H,13H2"
Standard Inchi Key(RDKit),AYKZZHMSHRUOTP-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1cccc([N+](=O)[O-])c1
SMILES(SDF),
MW(SDF),
MW(RDKit),394.814
MW Monoisotopic(RDKit),394.07203464
MolLogP(RDKit),4.0976
XLogP(SDF),
XLogP(CDK),4.575
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),83.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.533084612835986
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,2735786.8010339807
qed,0.5330846128359858
Chi0,19.888540578131753
Chi1,13.407739299442635
TPSA,83.67999999999999
Chi0n,14.579660142362751
Chi0v,15.335589088381207
Chi1n,8.542547780298147
Chi1v,8.920512253307376
Chi2n,6.542999303612224
Chi2v,6.979435084084209
Chi3n,4.8776550329784865
Chi3v,5.129631348317972
Chi4n,3.5421586588570695
Chi4v,3.668146816526812
MolMR,103.86270000000003
MolWt,394.81400000000014
fr_SH,0
Kappa1,18.157686761300997
Kappa2,6.742760427082604
Kappa3,2.831220294110589
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1083.773510461581
MolLogP,4.097600000000003
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8283406804190014
SMR_VSA1,14.824375627730198
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,12.269741999882829
SMR_VSA6,0.0
SMR_VSA7,110.18716237083423
SMR_VSA8,0.0
SMR_VSA9,0.0
