DLiP-ID,T007TT
DLiP-Mol-ID,26109
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H9Cl2N5/c9-4-1-2-6(5(10)3-4)14-8(13)15-7(11)12/h1-3H,(H6,11,12,13,14,15)"
Standard Inchi Key(RDKit),YUOBDYAVSVCCNI-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)NC(=N)Nc1ccc(Cl)cc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),246.101
MW Monoisotopic(RDKit),245.023500648
MolLogP(RDKit),1.82314
XLogP(SDF),
XLogP(CDK),2.805
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),97.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.385838586939314
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1653.4679003375852
qed,0.38583858693931433
Chi0,11.422285251880869
Chi1,6.986071002992367
TPSA,97.78
Chi0n,7.565330022776958
Chi0v,9.077187914813868
Chi1n,3.9046734793166253
Chi1v,4.66060242533508
Chi2n,2.6628433573907344
Chi2v,3.5064792646033243
Chi3n,1.4504699017644365
Chi3v,1.9982760130404738
Chi4n,0.8914380381427903
Chi4v,1.3471775261010202
MolMR,62.861200000000004
MolWt,246.101
fr_SH,0
Kappa1,11.613855243722304
Kappa2,4.858360022761948
Kappa3,3.6486284439760355
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,4
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,404.0185442158601
MolLogP,1.8231400000000002
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.7237155741065955
SMR_VSA1,0.0
SMR_VSA2,10.818567211583044
SMR_VSA3,5.316788604006331
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
