DLiP-ID,C000WI
DLiP-Mol-ID,31471
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C3H5NO4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)"
Standard Inchi Key(RDKit),WBLZUCOIBUDNBV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC[N+](=O)[O-]
SMILES(SDF),
MW(SDF),
MW(RDKit),119.076
MW Monoisotopic(RDKit),119.02185764
MolLogP(RDKit),-0.2622
XLogP(SDF),
XLogP(CDK),-0.278
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),80.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),8
QED Weighted(RDKit),0.409508362681125
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,40.339203954130696
qed,0.40950836268112467
Chi0,6.568914100752346
Chi1,3.625897657686229
TPSA,80.44
Chi0n,4.0333856247646
Chi0v,4.0333856247646
Chi1n,1.962660471262133
Chi1v,1.962660471262133
Chi2n,1.200079829970486
Chi2v,1.200079829970486
Chi3n,0.5082430562010001
Chi3v,0.5082430562010001
Chi4n,0.1869306393762915
Chi4v,0.1869306393762915
MolMR,24.114199999999997
MolWt,119.07600000000001
fr_SH,0
Kappa1,6.869999999999999
Kappa2,2.949731931546352
Kappa3,4.87
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,95.85105031544944
MolLogP,-0.26219999999999977
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,3.1818458670936187
SMR_VSA1,14.824375627730198
SMR_VSA2,0.0
