DLiP-ID,C001RQ
DLiP-Mol-ID,32823
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16N2O6S/c1-28-18-8-4-3-7-17(18)21-20(23)16-6-2-5-9-19(16)29(26,27)15-12-10-14(11-13-15)22(24)25/h2-13H,1H3,(H,21,23)"
Standard Inchi Key(RDKit),XGYUNGSPWLTXHR-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccccc1NC(=O)c1ccccc1S(=O)(=O)c1ccc([N+](=O)[O-])cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),412.423
MW Monoisotopic(RDKit),412.072907232
MolLogP(RDKit),3.6885
XLogP(SDF),
XLogP(CDK),3.273
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),115.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.487597927407931
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,3054679.7245118935
qed,0.4875979274079308
Chi0,21.018297090128673
Chi1,13.840572386380881
TPSA,115.61000000000001
Chi0n,15.233154859022513
Chi0v,16.04965143995024
Chi1n,8.372901117570185
Chi1v,9.856064365164576
Chi2n,5.905014848382921
Chi2v,7.823119350187953
Chi3n,4.134216528098718
Chi3v,5.962010420441835
Chi4n,2.7000920909568635
Chi4v,4.156387711151393
MolMR,105.93740000000003
MolWt,412.4230000000002
fr_SH,0
Kappa1,20.02560762291346
Kappa2,8.110277432352875
Kappa3,4.090716452098321
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1173.5856319565064
MolLogP,3.688500000000002
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9939098880311046
SMR_VSA1,22.872508171018477
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,9.79096695103555
SMR_VSA6,12.426586145283864
SMR_VSA7,88.47417458200191
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,166.37877937786334
NHOHCount,1
PEOE_VSA1,10.05365155780638
PEOE_VSA2,14.908855452837393
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,36.39820241076966
PEOE_VSA8,12.13273413692322
PEOE_VSA9,33.07491330751131
RingCount,3
SMR_VSA10,27.11920541513613
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
