DLiP-ID,C000UG
DLiP-Mol-ID,31393
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H14N4O2S/c1-23-12-6-4-5-11(9-12)14-10-24-17-19-18-16(21(17)20-14)13-7-2-3-8-15(13)22/h2-9,22H,10H2,1H3"
Standard Inchi Key(RDKit),BJKWXSCCROOKPS-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(C2=Nn3c(nnc3-c3ccccc3O)SC2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),338.392
MW Monoisotopic(RDKit),338.083746688
MolLogP(RDKit),3.0174
XLogP(SDF),
XLogP(CDK),4.491
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.79460513607137
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,624556.0123235026
qed,0.7946051360713697
Chi0,16.518297090128677
Chi1,11.75835149307306
TPSA,72.53
Chi0n,12.878473493131073
Chi0v,13.6949700740588
Chi1n,7.349083366851233
Chi1v,8.334681926504722
Chi2n,5.2024584165849665
Chi2v,6.144957057444701
Chi3n,3.7186926980636557
Chi3v,4.649252576382281
Chi4n,2.5024103705910536
Chi4v,3.3407678250083945
MolMR,92.77580000000002
MolWt,338.39200000000005
fr_SH,0
Kappa1,14.77093094733966
Kappa2,6.0099173553719
Kappa3,2.5236932747099248
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,935.8449071142544
MolLogP,3.017400000000001
NOCount,6
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.8043585209446649
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,14.873466057497485
SMR_VSA4,5.101407525739723
SMR_VSA5,5.156436481820707
SMR_VSA6,12.862651148024323
SMR_VSA7,54.09438803938988
SMR_VSA8,0.0
