DLiP-ID,I001C6
DLiP-Mol-ID,29732
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H23N5/c1-2-4-26-25(3-1)20(19-30-26)9-18-29-21-5-7-22(8-6-21)31(23-10-14-27-15-11-23)24-12-16-28-17-13-24/h1-8,10-17,19,29-30H,9,18H2"
Standard Inchi Key(RDKit),WTZJEFQSSNZUKZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2c(CCNc3ccc(N(c4ccncc4)c4ccncc4)cc3)c[nH]c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),405.505
MW Monoisotopic(RDKit),405.195345736
MolLogP(RDKit),6.0823
XLogP(SDF),
XLogP(CDK),4.481
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),56.84
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.344356230157815
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,30546683.39605659
qed,0.344356230157815
Chi0,20.882258120807595
Chi1,15.38214273316075
TPSA,56.839999999999996
Chi0n,17.070808925096614
Chi0v,17.070808925096614
Chi1n,10.374824348562885
Chi1v,10.374824348562885
Chi2n,7.3293832111613195
Chi2v,7.3293832111613195
Chi3n,5.3657329817999235
Chi3v,5.3657329817999235
Chi4n,3.841757863871107
Chi4v,3.841757863871107
MolMR,127.2074
MolWt,405.5050000000001
fr_SH,0
Kappa1,18.880053692716583
Kappa2,8.712754371797729
Kappa3,4.115942827538846
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1208.0002646557243
MolLogP,6.0823000000000045
NOCount,5
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.3100988912869558
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,14.951935562841626
