DLiP-ID,I001CA
DLiP-Mol-ID,29736
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H20FN5O/c1-25-23-28-20-5-3-2-4-19(20)21(29-23)26-14-15-6-12-18(13-7-15)27-22(30)16-8-10-17(24)11-9-16/h2-13H,14H2,1H3,(H,27,30)(H2,25,26,28,29)"
Standard Inchi Key(RDKit),WWBNWNFPDKAYDJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CNc1nc(NCc2ccc(NC(=O)c3ccc(F)cc3)cc2)c2ccccc2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),401.445
MW Monoisotopic(RDKit),401.16518848
MolLogP(RDKit),4.675
XLogP(SDF),
XLogP(CDK),4.674
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),78.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.437397321057844
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Beta-catenin_TCF-4
Common Target Pref Name,Beta-catenin/TCF
RDKit Descriptors
Ipc,8546551.979491953
qed,0.4373973210578438
Chi0,20.924074484064487
Chi1,14.6185248383792
TPSA,78.94000000000001
Chi0n,16.31594996593507
Chi0v,16.31594996593507
Chi1n,9.464725033204468
Chi1v,9.464725033204468
Chi2n,6.674463437398498
Chi2v,6.674463437398498
Chi3n,4.60500808862929
Chi3v,4.60500808862929
Chi4n,3.0193984375802922
Chi4v,3.0193984375802922
MolMR,117.2066
MolWt,401.4450000000001
fr_SH,0
Kappa1,19.322235434007133
Kappa2,8.566329565734682
Kappa3,4.3539094650205765
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1176.5658536649803
MolLogP,4.6750000000000025
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4351864515070216
SMR_VSA1,9.184952231746642
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,22.99803779469618
SMR_VSA7,89.74052864597924
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,172.73802242223718
NHOHCount,3
PEOE_VSA1,15.950365812018994
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.374393568622029
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,54.09438803938988
PEOE_VSA8,30.22949036943512
PEOE_VSA9,5.516700717616262
RingCount,4
SMR_VSA10,34.26369299493765
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,401.16518848000004
NumHDonors,3
